tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
10	1.41148	5.76333	11.6267	0.2449	0.0205	quoted
10.7536	1.45917	6.19098	12.4638	0.2357	0.0191	quoted
11.5639	1.50201	6.64942	13.3585	0.2259	0.0178	quoted
12.4354	1.53861	7.14064	14.3144	0.2155	0.0167	quoted
13.3725	1.56744	7.66672	15.3354	0.2044	0.0156	quoted
14.3802	1.58679	8.22982	16.4256	0.1928	0.0146	quoted
15.4639	1.59487	8.83219	17.5894	0.1806	0.0136	quoted
16.6292	1.58977	9.47617	18.8314	0.1678	0.0128	quoted
17.8824	1.56956	10.1642	20.1567	0.1544	0.0120	quoted
19.2299	1.53235	10.8987	21.5706	0.1406	0.0112	quoted
20.6791	1.47638	11.6825	23.079	0.1264	0.0106	quoted
22.2374	1.40012	12.5182	24.6879	0.1118	0.0099	quoted
23.9132	1.3024	13.4087	26.4041	0.0971	0.0094	quoted
25.7152	1.18257	14.3572	28.2347	0.0824	0.0088	quoted
26	1.16246	14.5062	28.5227	0.0801	0.0087	quoted
27.6531	1.0406	15.3669	30.1876	0.0677	0.0083	quoted
29.7369	0.877252	16.4416	32.2708	0.0534	0.0079	quoted
31.9778	0.694148	17.5853	34.4935	0.0395	0.0075	quoted
34.3876	0.493882	18.8026	36.865	0.0263	0.0071	quoted
36.979	0.280023	20.0984	39.3959	0.0139	0.0068	quoted
39.7657	0.0570972	21.4785	42.0972	0.0027	0.0065	quoted
42.7623	-0.169505	22.9494	44.9813	-0.0074	0.0062	quoted
45.9848	-0.393669	24.5185	48.0615	-0.0161	0.0059	quoted
49.4502	-0.608739	26.1939	51.353	-0.0232	0.0057	quoted
52	-0.74859	27.4203	53.7629	-0.0273	0.0056	quoted
53.1766	-0.807737	27.9848	54.872	-0.0289	0.0055	quoted
57.1839	-0.983577	29.9013	58.6371	-0.0329	0.0053	quoted
61.4932	-1.12928	31.9545	62.6687	-0.0353	0.0052	quoted
66.1272	-1.23814	34.1565	66.9894	-0.0362	0.0050	quoted
71.1104	-1.3039	36.5204	71.6242	-0.0357	0.0049	quoted
76.4691	-1.32077	39.0602	76.6004	-0.0338	0.0048	quoted
82.2317	-1.28354	41.7911	81.9477	-0.0307	0.0047	quoted
88.4285	-1.18754	44.7291	87.6983	-0.0265	0.0046	quoted
95.0923	-1.02858	47.8914	93.8871	-0.0215	0.0045	quoted
102.258	-0.802929	51.2962	100.551	-0.0157	0.0044	quoted
104	-0.740549	52.1245	102.172	-0.0142	0.0044	quoted
109.964	-0.507155	54.9629	107.73	-0.0092	0.0044	quoted
118.251	-0.138075	58.9123	115.466	-0.0023	0.0043	quoted
127.162	0.307377	63.1662	123.805	0.0049	0.0043	quoted
136.745	0.832247	67.7483	132.794	0.0123	0.0042	quoted
147.05	1.43966	72.6835	142.485	0.0198	0.0042	quoted
158.131	2.13293	77.9988	152.932	0.0273	0.0042	quoted
170.047	2.91559	83.7228	164.193	0.0348	0.0042	quoted
182.862	3.79155	89.8864	176.331	0.0422	0.0041	quoted
196.642	4.76506	96.5226	189.411	0.0494	0.0041	quoted
211.461	5.84087	103.667	203.505	0.0563	0.0041	quoted
227.396	7.02421	111.357	218.689	0.0631	0.0041	quoted
244.532	8.32087	119.634	235.044	0.0696	0.0041	quoted
262.959	9.73723	128.542	252.658	0.0758	0.0041	quoted
282.775	11.2803	138.128	271.626	0.0817	0.0041	quoted
304.085	12.9579	148.442	292.047	0.0873	0.0040	quoted
327	14.7785	159.54	314.03	0.0926	0.0040	quoted
1	0.220952	0.618372	1.28549	0.3573	0.1492	diagnostic
1.12202	0.243644	0.684756	1.42285	0.3558	0.1394	diagnostic
1.25893	0.269217	0.760227	1.57887	0.3541	0.1292	diagnostic
1.41254	0.297915	0.845786	1.75556	0.3522	0.1191	diagnostic
1.58489	0.330001	0.942566	1.95519	0.3501	0.1092	diagnostic
1.77828	0.365749	1.05185	2.18033	0.3477	0.0997	diagnostic
1.99526	0.405443	1.17508	2.43383	0.3450	0.0907	diagnostic
2.23872	0.449369	1.31389	2.7189	0.3420	0.0822	diagnostic
2.51189	0.497806	1.47011	3.03914	0.3386	0.0744	diagnostic
2.81838	0.551012	1.6458	3.39856	0.3348	0.0671	diagnostic
3.16228	0.609207	1.84326	3.8016	0.3305	0.0605	diagnostic
3.54813	0.672547	2.06509	4.25323	0.3257	0.0544	diagnostic
3.98107	0.7411	2.31417	4.75894	0.3202	0.0489	diagnostic
4.46684	0.814798	2.59375	5.3248	0.3141	0.0439	diagnostic
5.01187	0.89339	2.90743	5.95753	0.3073	0.0394	diagnostic
5.62341	0.976381	3.25923	6.66453	0.2996	0.0353	diagnostic
6.30957	1.06295	3.6536	7.45392	0.2909	0.0317	diagnostic
7.07946	1.15185	4.09548	8.33462	0.2812	0.0284	diagnostic
7.94328	1.24132	4.59032	9.31638	0.2704	0.0255	diagnostic
8.91251	1.32893	5.14409	10.4099	0.2583	0.0228	diagnostic
354.813	17.006	173.018	340.74	0.0983	0.0040	diagnostic
398.107	20.5023	194.007	382.362	0.1057	0.0040	diagnostic
446.684	24.4548	217.571	429.112	0.1124	0.0040	diagnostic
501.187	28.9151	244.021	481.612	0.1185	0.0040	diagnostic
562.341	33.9415	273.709	540.56	0.1240	0.0040	diagnostic
630.957	39.6	307.029	606.738	0.1290	0.0040	diagnostic
707.946	45.9651	344.422	681.024	0.1335	0.0040	diagnostic
794.328	53.1208	386.385	764.405	0.1375	0.0040	diagnostic
891.251	61.1618	433.475	857.987	0.1411	0.0040	diagnostic
1000	70.1943	486.317	963.012	0.1443	0.0040	diagnostic
