tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
1	0.0254756	0.0940681	0.190937	0.2708	0.2279	quoted
1.10131	0.027725	0.102441	0.207924	0.2706	0.2103	quoted
1.21288	0.0302276	0.11177	0.226846	0.2704	0.1935	quoted
1.33576	0.0330056	0.122139	0.247879	0.2702	0.1777	quoted
1.47108	0.0360835	0.133647	0.271218	0.2700	0.1630	quoted
1.62011	0.0394882	0.146401	0.29708	0.2697	0.1492	quoted
1.78425	0.0432494	0.160519	0.325706	0.2694	0.1364	quoted
1.96501	0.0473997	0.176133	0.357359	0.2691	0.1246	quoted
2.16408	0.0519747	0.193388	0.392335	0.2688	0.1137	quoted
2.38332	0.0570133	0.212446	0.430957	0.2684	0.1037	quoted
2.62477	0.0625579	0.233483	0.473583	0.2679	0.0945	quoted
2.89068	0.0686548	0.256697	0.520607	0.2675	0.0861	quoted
3	0.0711575	0.266251	0.539958	0.2673	0.0830	quoted
3.18353	0.0753538	0.282304	0.572466	0.2669	0.0784	quoted
3.50605	0.0827094	0.310541	0.629637	0.2663	0.0713	quoted
3.86125	0.0907801	0.341673	0.69265	0.2657	0.0649	quoted
4.25243	0.0996288	0.37599	0.762086	0.2650	0.0590	quoted
4.68324	0.109323	0.413812	0.838585	0.2642	0.0537	quoted
5.15769	0.119936	0.455491	0.922853	0.2633	0.0489	quoted
5.68021	0.131544	0.501416	1.01566	0.2623	0.0444	quoted
6.25566	0.144229	0.552017	1.11787	0.2613	0.0404	quoted
6.88942	0.158076	0.607764	1.23042	0.2601	0.0368	quoted
7.58738	0.173178	0.669179	1.35433	0.2588	0.0335	quoted
8.35605	0.189627	0.736835	1.49075	0.2574	0.0305	quoted
9.20259	0.207522	0.811364	1.64093	0.2558	0.0278	quoted
10.1349	0.226963	0.893462	1.80623	0.2540	0.0253	quoted
11.1616	0.248053	0.983898	1.98816	0.2521	0.0231	quoted
12.2924	0.270897	1.08352	2.1884	0.2500	0.0210	quoted
13.5377	0.295604	1.19325	2.40877	0.2477	0.0192	quoted
14.9092	0.322282	1.31413	2.65128	0.2452	0.0176	quoted
16.4197	0.351045	1.44729	2.91815	0.2426	0.0161	quoted
18.0831	0.382014	1.59397	3.21183	0.2397	0.0147	quoted
19.9151	0.415322	1.75556	3.535	0.2366	0.0135	quoted
21.9327	0.451121	1.93356	3.89066	0.2333	0.0125	quoted
24.1547	0.489594	2.12967	4.28209	0.2299	0.0115	quoted
26	0.520883	2.29257	4.60699	0.2272	0.0108	quoted
26.6018	0.53097	2.34571	4.71292	0.2264	0.0106	quoted
29.2968	0.575542	2.58372	5.18719	0.2228	0.0099	quoted
32.2648	0.623687	2.84594	5.70936	0.2191	0.0092	quoted
35.5335	0.675891	3.13483	6.28436	0.2156	0.0086	quoted
39.1333	0.732768	3.4531	6.91765	0.2122	0.0081	quoted
43.0979	0.795083	3.80374	7.61527	0.2090	0.0076	quoted
47.4641	0.863754	4.19002	8.38388	0.2061	0.0072	quoted
52	0.935529	4.59143	9.18281	0.2038	0.0069	quoted
52.2726	0.939864	4.61556	9.23085	0.2036	0.0069	quoted
57.5683	1.02464	5.08434	10.1643	0.2015	0.0066	quoted
63.4005	1.11946	5.6007	11.193	0.1999	0.0063	quoted
69.8235	1.22581	6.16948	12.3269	0.1987	0.0061	quoted
76.8973	1.34527	6.79594	13.5768	0.1980	0.0059	quoted
84.6876	1.47951	7.48593	14.9543	0.1976	0.0057	quoted
93.2672	1.63026	8.24584	16.4726	0.1977	0.0056	quoted
102.716	1.79936	9.08276	18.1458	0.1981	0.0055	quoted
104	1.82256	9.19648	18.3733	0.1982	0.0055	quoted
113.122	1.98872	10.0045	19.9898	0.1988	0.0054	quoted
124.582	2.20035	11.0195	22.0217	0.1997	0.0053	quoted
137.204	2.43641	12.1373	24.2605	0.2007	0.0052	quoted
151.104	2.69924	13.3684	26.7271	0.2019	0.0052	quoted
166.412	2.99137	14.7241	29.4446	0.2032	0.0051	quoted
183.271	3.31556	16.217	32.4382	0.2044	0.0051	quoted
201.838	3.67484	17.8612	35.736	0.2057	0.0051	quoted
222.286	4.07256	19.6719	39.3685	0.2070	0.0050	quoted
244.805	4.51242	21.6659	43.3697	0.2083	0.0050	quoted
269.606	4.99848	23.8619	47.7769	0.2095	0.0050	quoted
296.919	5.53525	26.2803	52.631	0.2106	0.0050	quoted
327	6.12771	28.9436	57.9774	0.2117	0.0050	quoted
354.813	6.67642	31.4061	62.9212	0.2126	0.0050	diagnostic
398.107	7.53179	35.2392	70.617	0.2137	0.0049	diagnostic
446.684	8.49282	39.54	79.2523	0.2148	0.0049	diagnostic
501.187	9.57224	44.3654	88.9417	0.2158	0.0049	diagnostic
562.341	10.7843	49.7796	99.8137	0.2166	0.0049	diagnostic
630.957	12.1452	55.8543	112.013	0.2174	0.0049	diagnostic
707.946	13.6728	62.6703	125.7	0.2182	0.0049	diagnostic
794.328	15.3874	70.3178	141.058	0.2188	0.0049	diagnostic
891.251	17.3118	78.8985	158.29	0.2194	0.0049	diagnostic
1000	19.4714	88.5261	177.625	0.2200	0.0049	diagnostic
