tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
1	0.0988994	0.132405	0.317753	0.7469	0.0004	quoted
1.10131	0.100682	0.132201	0.319098	0.7616	0.0004	quoted
1.21288	0.102284	0.13201	0.320303	0.7748	0.0004	quoted
1.33576	0.103729	0.131829	0.321379	0.7868	0.0004	quoted
1.47108	0.105039	0.131655	0.322341	0.7978	0.0004	quoted
1.62011	0.106237	0.131483	0.323206	0.8080	0.0004	quoted
1.78425	0.107344	0.131313	0.323988	0.8175	0.0004	quoted
1.96501	0.108379	0.131144	0.324703	0.8264	0.0004	quoted
2.16408	0.109359	0.130973	0.325366	0.8350	0.0004	quoted
2.38332	0.1103	0.1308	0.325989	0.8433	0.0004	quoted
2.62477	0.111216	0.130624	0.326584	0.8514	0.0004	quoted
2.89068	0.112119	0.130444	0.327161	0.8595	0.0004	quoted
3	0.112466	0.130373	0.32738	0.8626	0.0004	quoted
3.18353	0.113021	0.130257	0.327729	0.8677	0.0004	quoted
3.50605	0.113932	0.130065	0.328295	0.8760	0.0004	quoted
3.86125	0.11486	0.129864	0.328867	0.8845	0.0004	quoted
4.25243	0.115813	0.129654	0.329449	0.8932	0.0004	quoted
4.68324	0.116797	0.129433	0.330046	0.9024	0.0004	quoted
5.15769	0.117818	0.129202	0.330661	0.9119	0.0004	quoted
5.68021	0.11888	0.128957	0.331298	0.9219	0.0004	quoted
6.25566	0.119986	0.1287	0.331957	0.9323	0.0004	quoted
6.88942	0.121138	0.128429	0.33264	0.9432	0.0004	quoted
7.58738	0.122336	0.128144	0.333348	0.9547	0.0004	quoted
8.35605	0.123579	0.127845	0.33408	0.9666	0.0004	quoted
9.20259	0.124865	0.127536	0.334836	0.9791	0.0004	quoted
10.1349	0.126189	0.127217	0.335617	0.9919	0.0004	quoted
11.1616	0.127546	0.126894	0.336425	1.0051	0.0004	quoted
12.2924	0.12893	0.126572	0.337264	1.0186	0.0004	quoted
13.5377	0.130333	0.126262	0.338142	1.0322	0.0004	quoted
14.9092	0.131748	0.125976	0.339075	1.0458	0.0004	quoted
16.4197	0.133172	0.125732	0.340084	1.0592	0.0004	quoted
18.0831	0.134601	0.125551	0.341206	1.0721	0.0004	quoted
19.9151	0.136039	0.125464	0.342492	1.0843	0.0004	quoted
21.9327	0.137497	0.125505	0.344011	1.0955	0.0004	quoted
24.1547	0.138994	0.125721	0.345857	1.1056	0.0004	quoted
26	0.140183	0.126035	0.347558	1.1123	0.0004	quoted
26.6018	0.140563	0.126163	0.348149	1.1141	0.0004	quoted
29.2968	0.14225	0.126896	0.351037	1.1210	0.0004	quoted
32.2648	0.144113	0.12799	0.354699	1.1260	0.0004	quoted
35.5335	0.146227	0.129528	0.359342	1.1289	0.0004	quoted
39.1333	0.14868	0.131599	0.365201	1.1298	0.0004	quoted
43.0979	0.15157	0.134299	0.372534	1.1286	0.0004	quoted
47.4641	0.155005	0.137731	0.381617	1.1254	0.0004	quoted
52	0.158857	0.141747	0.392081	1.1207	0.0005	quoted
52.2726	0.159098	0.142002	0.392741	1.1204	0.0005	quoted
57.5683	0.163967	0.147225	0.406207	1.1137	0.0005	quoted
63.4005	0.169729	0.153516	0.422326	1.1056	0.0005	quoted
69.8235	0.176504	0.160993	0.441411	1.0963	0.0005	quoted
76.8973	0.18441	0.169781	0.463786	1.0862	0.0005	quoted
84.6876	0.193569	0.180008	0.489784	1.0753	0.0005	quoted
93.2672	0.204101	0.19181	0.51975	1.0641	0.0005	quoted
102.716	0.216135	0.20533	0.554048	1.0526	0.0005	quoted
104	0.2178	0.207203	0.558798	1.0511	0.0005	quoted
113.122	0.229803	0.220723	0.593066	1.0411	0.0005	quoted
124.582	0.245249	0.238154	0.637222	1.0298	0.0005	quoted
137.204	0.262625	0.257806	0.686966	1.0187	0.0005	quoted
151.104	0.282101	0.279876	0.742796	1.0080	0.0005	quoted
166.412	0.303862	0.304581	0.805254	0.9976	0.0005	quoted
183.271	0.328113	0.332161	0.87494	0.9878	0.0005	quoted
201.838	0.355078	0.36288	0.952516	0.9785	0.0005	quoted
222.286	0.385009	0.397031	1.03871	0.9697	0.0005	quoted
244.805	0.418183	0.434937	1.13435	0.9615	0.0005	quoted
269.606	0.454908	0.476953	1.2403	0.9538	0.0005	quoted
296.919	0.495524	0.523475	1.35758	0.9466	0.0005	quoted
327	0.540407	0.574938	1.48727	0.9399	0.0005	quoted
354.813	0.582015	0.622684	1.60756	0.9347	0.0005	diagnostic
398.107	0.646932	0.69724	1.79535	0.9278	0.0005	diagnostic
446.684	0.719927	0.781141	2.00662	0.9216	0.0005	diagnostic
501.187	0.801967	0.875504	2.24418	0.9160	0.0005	diagnostic
562.341	0.894139	0.981581	2.51118	0.9109	0.0005	diagnostic
630.957	0.997664	1.10078	2.81117	0.9063	0.0005	diagnostic
707.946	1.11391	1.23468	3.14813	0.9022	0.0005	diagnostic
794.328	1.24443	1.38507	3.52652	0.8985	0.0005	diagnostic
891.251	1.39095	1.55393	3.95136	0.8951	0.0005	diagnostic
1000	1.5554	1.74351	4.4283	0.8921	0.0005	diagnostic
