tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
1	0.141746	0.222573	0.511494	0.6369	0.0002	quoted
1.10131	0.142902	0.225592	0.517745	0.6335	0.0002	quoted
1.21288	0.14318	0.228118	0.522359	0.6277	0.0002	quoted
1.33576	0.14262	0.230161	0.525395	0.6197	0.0002	quoted
1.47108	0.141277	0.231746	0.526955	0.6096	0.0002	quoted
1.62011	0.139221	0.232907	0.527168	0.5978	0.0002	quoted
1.78425	0.13652	0.233684	0.526171	0.5842	0.0002	quoted
1.96501	0.133237	0.234116	0.524102	0.5691	0.0002	quoted
2.16408	0.129428	0.234241	0.521088	0.5525	0.0002	quoted
2.38332	0.125138	0.234091	0.517242	0.5346	0.0002	quoted
2.62477	0.120402	0.233695	0.512659	0.5152	0.0002	quoted
2.89068	0.115243	0.233075	0.507421	0.4944	0.0002	quoted
3	0.11315	0.232781	0.505245	0.4861	0.0002	quoted
3.18353	0.109676	0.23225	0.501593	0.4722	0.0002	quoted
3.50605	0.103707	0.231229	0.495234	0.4485	0.0002	quoted
3.86125	0.0973381	0.23002	0.48839	0.4232	0.0002	quoted
4.25243	0.0905655	0.228626	0.481106	0.3961	0.0002	quoted
4.68324	0.0833855	0.227044	0.47343	0.3673	0.0002	quoted
5.15769	0.0757947	0.225272	0.465409	0.3365	0.0002	quoted
5.68021	0.0677933	0.223301	0.457104	0.3036	0.0002	quoted
6.25566	0.0593871	0.221124	0.448583	0.2686	0.0002	quoted
6.88942	0.05059	0.218732	0.439933	0.2313	0.0002	quoted
7.58738	0.0414267	0.216117	0.431251	0.1917	0.0002	quoted
8.35605	0.0319342	0.213273	0.422652	0.1497	0.0002	quoted
9.20259	0.0221638	0.210198	0.41426	0.1054	0.0002	quoted
10.1349	0.012181	0.206894	0.406207	0.0589	0.0002	quoted
11.1616	0.00206575	0.203372	0.398622	0.0102	0.0002	quoted
12.2924	-0.00809047	0.19965	0.391627	-0.0405	0.0002	quoted
13.5377	-0.0181877	0.195757	0.385327	-0.0929	0.0002	quoted
14.9092	-0.0281234	0.191735	0.379802	-0.1467	0.0002	quoted
16.4197	-0.0377986	0.187636	0.375104	-0.2014	0.0002	quoted
18.0831	-0.0471264	0.183529	0.371262	-0.2568	0.0003	quoted
19.9151	-0.0560393	0.179491	0.368288	-0.3122	0.0003	quoted
21.9327	-0.0644963	0.175614	0.366187	-0.3673	0.0003	quoted
24.1547	-0.0724887	0.171997	0.364981	-0.4215	0.0003	quoted
26	-0.0782886	0.169478	0.364691	-0.4619	0.0003	quoted
26.6018	-0.0800428	0.168747	0.364719	-0.4743	0.0003	quoted
29.2968	-0.0872207	0.165975	0.365494	-0.5255	0.0003	quoted
32.2648	-0.0941183	0.163794	0.36745	-0.5746	0.0003	quoted
35.5335	-0.100861	0.162319	0.370779	-0.6214	0.0003	quoted
39.1333	-0.107599	0.161659	0.375717	-0.6656	0.0003	quoted
43.0979	-0.1145	0.161923	0.382538	-0.7071	0.0003	quoted
47.4641	-0.121746	0.163219	0.391541	-0.7459	0.0004	quoted
52	-0.129086	0.165486	0.402351	-0.7800	0.0004	quoted
52.2726	-0.129524	0.165648	0.403044	-0.7819	0.0004	quoted
57.5683	-0.138028	0.169314	0.41738	-0.8152	0.0004	quoted
63.4005	-0.147452	0.17432	0.434891	-0.8459	0.0004	quoted
69.8235	-0.157991	0.180769	0.455929	-0.8740	0.0004	quoted
76.8973	-0.16984	0.18877	0.480859	-0.8997	0.0004	quoted
84.6876	-0.183198	0.198439	0.51006	-0.9232	0.0004	quoted
93.2672	-0.198265	0.209898	0.543931	-0.9446	0.0004	quoted
102.716	-0.215248	0.223282	0.582895	-0.9640	0.0004	quoted
104	-0.217585	0.225152	0.588304	-0.9664	0.0004	quoted
113.122	-0.234361	0.238738	0.627406	-0.9817	0.0004	quoted
124.582	-0.255831	0.256427	0.677954	-0.9977	0.0004	quoted
137.204	-0.279899	0.276529	0.735074	-1.0122	0.0004	quoted
151.104	-0.306822	0.299244	0.799351	-1.0253	0.0004	quoted
166.412	-0.33688	0.32479	0.871426	-1.0372	0.0004	quoted
183.271	-0.370376	0.353416	0.952006	-1.0480	0.0004	quoted
201.838	-0.407642	0.385392	1.04187	-1.0577	0.0004	quoted
222.286	-0.449042	0.421022	1.14188	-1.0666	0.0004	quoted
244.805	-0.494973	0.460643	1.25299	-1.0745	0.0004	quoted
269.606	-0.545876	0.504625	1.37625	-1.0817	0.0004	quoted
296.919	-0.602233	0.553381	1.51282	-1.0883	0.0004	quoted
327	-0.664578	0.607369	1.66398	-1.0942	0.0004	quoted
354.813	-0.722424	0.657495	1.80429	-1.0988	0.0004	diagnostic
398.107	-0.812759	0.735818	2.02349	-1.1046	0.0004	diagnostic
446.684	-0.914433	0.824015	2.27026	-1.1097	0.0004	diagnostic
501.187	-1.0288	0.923258	2.5479	-1.1143	0.0004	diagnostic
562.341	-1.15739	1.03486	2.86011	-1.1184	0.0004	diagnostic
630.957	-1.3019	1.16032	3.21101	-1.1220	0.0004	diagnostic
707.946	-1.46425	1.30128	3.60528	-1.1252	0.0004	diagnostic
794.328	-1.64661	1.45962	4.04815	-1.1281	0.0004	diagnostic
891.251	-1.85139	1.63745	4.5455	-1.1307	0.0004	diagnostic
1000	-2.08131	1.83712	5.10393	-1.1329	0.0004	diagnostic
