tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
1	0.0403814	0.0952643	0.202319	0.4239	0.2240	quoted
1.10131	0.0439781	0.103743	0.220327	0.4239	0.2067	quoted
1.21288	0.0479854	0.113188	0.240388	0.4239	0.1903	quoted
1.33576	0.0524409	0.123687	0.26269	0.4240	0.1748	quoted
1.47108	0.0573863	0.135338	0.287439	0.4240	0.1604	quoted
1.62011	0.062868	0.14825	0.314867	0.4241	0.1468	quoted
1.78425	0.0689375	0.162543	0.345229	0.4241	0.1343	quoted
1.96501	0.0756521	0.178349	0.378808	0.4242	0.1227	quoted
2.16408	0.0830749	0.195816	0.415918	0.4242	0.1120	quoted
2.38332	0.091276	0.215107	0.456903	0.4243	0.1021	quoted
2.62477	0.100333	0.2364	0.502147	0.4244	0.0931	quoted
2.89068	0.110332	0.259894	0.552072	0.4245	0.0848	quoted
3	0.114449	0.269563	0.572619	0.4246	0.0818	quoted
3.18353	0.121368	0.285807	0.607143	0.4247	0.0772	quoted
3.50605	0.133547	0.314381	0.667873	0.4248	0.0703	quoted
3.86125	0.146985	0.345879	0.734831	0.4250	0.0640	quoted
4.25243	0.161812	0.380597	0.808641	0.4252	0.0582	quoted
4.68324	0.178172	0.418854	0.889994	0.4254	0.0530	quoted
5.15769	0.196224	0.461008	0.979651	0.4256	0.0482	quoted
5.68021	0.216148	0.507448	1.07845	0.4259	0.0438	quoted
6.25566	0.23814	0.558607	1.18732	0.4263	0.0399	quoted
6.88942	0.262422	0.614957	1.30728	0.4267	0.0363	quoted
7.58738	0.289242	0.677021	1.43945	0.4272	0.0330	quoted
8.35605	0.318877	0.745374	1.5851	0.4278	0.0301	quoted
9.20259	0.351638	0.820648	1.74558	0.4285	0.0274	quoted
10.1349	0.387877	0.90354	1.92241	0.4293	0.0250	quoted
11.1616	0.42799	0.994815	2.11729	0.4302	0.0228	quoted
12.2924	0.472423	1.09532	2.33205	0.4313	0.0208	quoted
13.5377	0.521685	1.20597	2.56876	0.4326	0.0190	quoted
14.9092	0.576353	1.3278	2.82969	0.4341	0.0174	quoted
16.4197	0.637079	1.46192	3.11735	0.4358	0.0159	quoted
18.0831	0.704608	1.60958	3.43454	0.4378	0.0146	quoted
19.9151	0.779781	1.77212	3.78433	0.4400	0.0134	quoted
21.9327	0.86355	1.95106	4.17014	0.4426	0.0123	quoted
24.1547	0.956984	2.14802	4.59575	0.4455	0.0114	quoted
26	1.0355	2.31153	4.94979	0.4480	0.0107	quoted
26.6018	1.06128	2.36484	5.06536	0.4488	0.0105	quoted
29.2968	1.17776	2.6035	5.58356	0.4524	0.0098	quoted
32.2648	1.30787	2.86622	6.15546	0.4563	0.0091	quoted
35.5335	1.4532	3.15542	6.78664	0.4605	0.0085	quoted
39.1333	1.61543	3.47381	7.48327	0.4650	0.0080	quoted
43.0979	1.79636	3.82433	8.25208	0.4697	0.0076	quoted
47.4641	1.99788	4.21029	9.10046	0.4745	0.0072	quoted
52	2.20923	4.61119	9.98337	0.4791	0.0068	quoted
52.2726	2.22199	4.63529	10.0365	0.4794	0.0068	quoted
57.5683	2.47078	5.10334	11.069	0.4842	0.0065	quoted
63.4005	2.74649	5.61884	12.2075	0.4888	0.0063	quoted
69.8235	3.05146	6.18668	13.4628	0.4932	0.0061	quoted
76.8973	3.38827	6.81219	14.8464	0.4974	0.0059	quoted
84.6876	3.75972	7.50127	16.3711	0.5012	0.0057	quoted
93.2672	4.1689	8.26042	18.0508	0.5047	0.0056	quoted
102.716	4.61923	9.09676	19.9011	0.5078	0.0055	quoted
104	4.68039	9.21043	20.1526	0.5082	0.0054	quoted
113.122	5.11455	10.0181	21.939	0.5105	0.0054	quoted
124.582	5.65913	11.0332	24.1831	0.5129	0.0053	quoted
137.204	6.25773	12.1514	26.6544	0.5150	0.0052	quoted
151.104	6.91565	13.3832	29.3756	0.5167	0.0052	quoted
166.412	7.63881	14.7402	32.3718	0.5182	0.0051	quoted
183.271	8.43375	16.2349	35.671	0.5195	0.0051	quoted
201.838	9.30772	17.8813	39.3037	0.5205	0.0050	quoted
222.286	10.2687	19.6948	43.3037	0.5214	0.0050	quoted
244.805	11.3257	21.6922	47.7082	0.5221	0.0050	quoted
269.606	12.4882	23.8922	52.5582	0.5227	0.0050	quoted
296.919	13.7673	26.3153	57.8987	0.5232	0.0050	quoted
327	15.1746	28.9841	63.7796	0.5236	0.0050	quoted
354.813	16.475	31.4518	69.2167	0.5238	0.0049	diagnostic
398.107	18.4977	35.2932	77.6791	0.5241	0.0049	diagnostic
446.684	20.7658	39.6035	87.1733	0.5243	0.0049	diagnostic
501.187	23.3094	44.4398	97.8252	0.5245	0.0049	diagnostic
562.341	26.162	49.8665	109.776	0.5246	0.0049	diagnostic
630.957	29.3616	55.9554	123.184	0.5247	0.0049	diagnostic
707.946	32.9507	62.7874	138.228	0.5248	0.0049	diagnostic
794.328	36.9768	70.4531	155.107	0.5248	0.0049	diagnostic
891.251	41.4934	79.0542	174.045	0.5249	0.0049	diagnostic
1000	46.5604	88.705	195.293	0.5249	0.0049	diagnostic
