tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
10	1.60231	5.76281	11.7183	0.2780	0.0205	quoted
10.7536	1.66631	6.1905	12.5602	0.2692	0.0191	quoted
11.5639	1.72669	6.649	13.4596	0.2597	0.0179	quoted
12.4354	1.78209	7.1403	14.42	0.2496	0.0167	quoted
13.3725	1.83096	7.66649	15.445	0.2388	0.0156	quoted
14.3802	1.87157	8.22974	16.5386	0.2274	0.0146	quoted
15.4639	1.90206	8.83232	17.7051	0.2154	0.0137	quoted
16.6292	1.92039	9.47656	18.9489	0.2026	0.0128	quoted
17.8824	1.92448	10.1649	20.2749	0.1893	0.0120	quoted
19.2299	1.91217	10.8999	21.6881	0.1754	0.0112	quoted
20.6791	1.88139	11.6841	23.1943	0.1610	0.0106	quoted
22.2374	1.8302	12.5204	24.7995	0.1462	0.0099	quoted
23.9132	1.75695	13.4116	26.5103	0.1310	0.0094	quoted
25.7152	1.66038	14.3608	28.3339	0.1156	0.0088	quoted
26	1.64366	14.51	28.6207	0.1133	0.0087	quoted
27.6531	1.5398	15.3715	30.2781	0.1002	0.0083	quoted
29.7369	1.3952	16.4472	32.3515	0.0848	0.0079	quoted
31.9778	1.22739	17.5919	34.5633	0.0698	0.0075	quoted
34.3876	1.03808	18.8102	36.9234	0.0552	0.0071	quoted
36.979	0.829937	20.1071	39.4427	0.0413	0.0068	quoted
39.7657	0.606603	21.4883	42.1331	0.0282	0.0065	quoted
42.7623	0.372603	22.9603	45.0072	0.0162	0.0062	quoted
45.9848	0.133244	24.5303	48.0791	0.0054	0.0059	quoted
49.4502	-0.10555	26.2064	51.3641	-0.0040	0.0057	quoted
52	-0.267153	27.4333	53.7708	-0.0097	0.0056	quoted
53.1766	-0.337442	27.9979	54.8788	-0.0121	0.0055	quoted
57.1839	-0.555892	29.9147	58.6418	-0.0186	0.0053	quoted
61.4932	-0.754373	31.9679	62.6733	-0.0236	0.0052	quoted
66.1272	-0.926558	34.1696	66.9958	-0.0271	0.0050	quoted
71.1104	-1.06647	36.5329	71.6336	-0.0292	0.0049	quoted
76.4691	-1.16859	39.0717	76.6134	-0.0299	0.0048	quoted
82.2317	-1.22793	41.8013	81.9644	-0.0294	0.0047	quoted
88.4285	-1.24002	44.7376	87.7178	-0.0277	0.0046	quoted
95.0923	-1.20093	47.8979	93.9077	-0.0251	0.0045	quoted
102.258	-1.10716	51.3004	100.57	-0.0216	0.0044	quoted
104	-1.07719	52.1281	102.191	-0.0207	0.0044	quoted
109.964	-0.955613	54.9645	107.745	-0.0174	0.0044	quoted
118.251	-0.743475	58.9108	115.472	-0.0126	0.0043	quoted
127.162	-0.468137	63.1615	123.798	-0.0074	0.0043	quoted
136.745	-0.127094	67.74	132.768	-0.0019	0.0043	quoted
147.05	0.282151	72.6715	142.435	0.0039	0.0042	quoted
158.131	0.762161	77.9827	152.851	0.0098	0.0042	quoted
170.047	1.31565	83.7024	164.074	0.0157	0.0042	quoted
182.862	1.94555	89.8614	176.166	0.0217	0.0041	quoted
196.642	2.65508	96.4927	189.194	0.0275	0.0041	quoted
211.461	3.44776	103.632	203.227	0.0333	0.0041	quoted
227.396	4.32753	111.316	218.341	0.0389	0.0041	quoted
244.532	5.29874	119.588	234.617	0.0443	0.0041	quoted
262.959	6.36619	128.489	252.143	0.0495	0.0041	quoted
282.775	7.53521	138.069	271.012	0.0546	0.0041	quoted
304.085	8.81166	148.377	291.325	0.0594	0.0040	quoted
327	10.202	159.467	313.189	0.0640	0.0040	quoted
1	0.237056	0.618299	1.29581	0.3834	0.1492	diagnostic
1.12202	0.261566	0.684675	1.43429	0.3820	0.1394	diagnostic
1.25893	0.289224	0.760136	1.59159	0.3805	0.1293	diagnostic
1.41254	0.320311	0.845684	1.76975	0.3788	0.1191	diagnostic
1.58489	0.355127	0.942451	1.97104	0.3768	0.1092	diagnostic
1.77828	0.393997	1.05172	2.19805	0.3746	0.0997	diagnostic
1.99526	0.43726	1.17493	2.45368	0.3722	0.0907	diagnostic
2.23872	0.485265	1.31372	2.74115	0.3694	0.0822	diagnostic
2.51189	0.538366	1.46992	3.0641	0.3663	0.0744	diagnostic
2.81838	0.596907	1.64558	3.42656	0.3627	0.0671	diagnostic
3.16228	0.661209	1.84302	3.83303	0.3588	0.0605	diagnostic
3.54813	0.731546	2.06481	4.28849	0.3543	0.0544	diagnostic
3.98107	0.808117	2.31387	4.79849	0.3492	0.0489	diagnostic
4.46684	0.891009	2.59341	5.36913	0.3436	0.0439	diagnostic
5.01187	0.980148	2.90705	6.00716	0.3372	0.0394	diagnostic
5.62341	1.07523	3.2588	6.71999	0.3299	0.0354	diagnostic
6.30957	1.17566	3.65314	7.51576	0.3218	0.0317	diagnostic
7.07946	1.28044	4.09498	8.40336	0.3127	0.0284	diagnostic
7.94328	1.38804	4.58979	9.39246	0.3024	0.0255	diagnostic
8.91251	1.49632	5.14356	10.4936	0.2909	0.0228	diagnostic
354.813	11.9087	172.936	339.75	0.0689	0.0040	diagnostic
398.107	14.5968	193.913	381.136	0.0753	0.0040	diagnostic
446.684	17.6454	217.462	427.616	0.0811	0.0040	diagnostic
501.187	21.0941	243.895	479.809	0.0865	0.0040	diagnostic
562.341	24.988	273.565	538.407	0.0913	0.0040	diagnostic
630.957	29.3782	306.865	604.19	0.0957	0.0040	diagnostic
707.946	34.3225	344.235	678.03	0.0997	0.0040	diagnostic
794.328	39.8861	386.174	760.907	0.1033	0.0040	diagnostic
891.251	46.1425	433.236	853.922	0.1065	0.0040	diagnostic
1000	53.1744	486.047	958.309	0.1094	0.0040	diagnostic
