tau_chi_d	beta_hat_us	sigma_beta_us	u95_us	z	survival	window
10	0.224167	0.881583	1.78231	0.2543	0.0256	quoted
10.7536	0.239711	0.947954	1.91587	0.2529	0.0239	quoted
11.5639	0.256226	1.01934	2.05942	0.2514	0.0223	quoted
12.4354	0.273758	1.09611	2.21371	0.2498	0.0208	quoted
13.3725	0.292352	1.17869	2.37953	0.2480	0.0194	quoted
14.3802	0.312056	1.2675	2.55776	0.2462	0.0182	quoted
15.4639	0.332917	1.36302	2.7493	0.2442	0.0170	quoted
16.6292	0.354985	1.46576	2.95515	0.2422	0.0159	quoted
17.8824	0.378313	1.57626	3.17639	0.2400	0.0149	quoted
19.2299	0.402958	1.69511	3.41416	0.2377	0.0140	quoted
20.6791	0.42898	1.82295	3.6697	0.2353	0.0131	quoted
22.2374	0.456452	1.96045	3.94435	0.2328	0.0123	quoted
23.9132	0.485456	2.10835	4.23955	0.2303	0.0116	quoted
25.7152	0.516089	2.26743	4.55686	0.2276	0.0109	quoted
26	0.520883	2.29257	4.60699	0.2272	0.0108	quoted
27.6531	0.548469	2.43854	4.89795	0.2249	0.0103	quoted
29.7369	0.582738	2.6226	5.26464	0.2222	0.0098	quoted
31.9778	0.619068	2.82058	5.65888	0.2195	0.0093	quoted
34.3876	0.657668	3.03354	6.08279	0.2168	0.0088	quoted
36.979	0.698787	3.26262	6.53865	0.2142	0.0084	quoted
39.7657	0.74272	3.50902	7.0289	0.2117	0.0080	quoted
42.7623	0.789812	3.77406	7.55621	0.2093	0.0077	quoted
45.9848	0.840459	4.05914	8.12343	0.2071	0.0073	quoted
49.4502	0.895108	4.36577	8.73364	0.2050	0.0071	quoted
52	0.935529	4.59143	9.18281	0.2038	0.0069	quoted
53.1766	0.954257	4.69558	9.39014	0.2032	0.0068	quoted
57.1839	1.01845	5.05031	10.0965	0.2017	0.0066	quoted
61.4932	1.08828	5.43183	10.8565	0.2004	0.0064	quoted
66.1272	1.16436	5.84215	11.6743	0.1993	0.0062	quoted
71.1104	1.24736	6.28344	12.5542	0.1985	0.0060	quoted
76.4691	1.33797	6.75803	13.5011	0.1980	0.0059	quoted
82.2317	1.4369	7.2684	14.5199	0.1977	0.0058	quoted
88.4285	1.54489	7.81727	15.6162	0.1976	0.0057	quoted
95.0923	1.66269	8.4075	16.7957	0.1978	0.0056	quoted
102.258	1.7911	9.04221	18.0648	0.1981	0.0055	quoted
104	1.82256	9.19648	18.3733	0.1982	0.0055	quoted
109.964	1.93094	9.72476	19.4301	0.1986	0.0054	quoted
118.251	2.08307	10.4587	20.899	0.1992	0.0053	quoted
127.162	2.24836	11.248	22.4792	0.1999	0.0053	quoted
136.745	2.42778	12.0967	24.1791	0.2007	0.0052	quoted
147.05	2.62232	13.0093	26.0076	0.2016	0.0052	quoted
158.131	2.83304	13.9907	27.9745	0.2025	0.0052	quoted
170.047	3.06109	15.046	30.0901	0.2034	0.0051	quoted
182.862	3.30767	16.1808	32.3656	0.2044	0.0051	quoted
196.642	3.5741	17.4011	34.8131	0.2054	0.0051	quoted
211.461	3.86178	18.7133	37.4454	0.2064	0.0050	quoted
227.396	4.17223	20.1244	40.2764	0.2073	0.0050	quoted
244.532	4.50707	21.6417	43.3212	0.2083	0.0050	quoted
262.959	4.86807	23.2734	46.5957	0.2092	0.0050	quoted
282.775	5.25713	25.0279	50.1173	0.2101	0.0050	quoted
304.085	5.67627	26.9147	53.9045	0.2109	0.0050	quoted
327	6.12771	28.9436	57.9774	0.2117	0.0050	quoted
1	0.0254756	0.0940681	0.190937	0.2708	0.2279	diagnostic
1.12202	0.0281878	0.104165	0.211421	0.2706	0.2070	diagnostic
1.25893	0.0312663	0.115645	0.234707	0.2704	0.1873	diagnostic
1.41254	0.03475	0.128659	0.261102	0.2701	0.1691	diagnostic
1.58489	0.0386824	0.14338	0.290956	0.2698	0.1523	diagnostic
1.77828	0.0431125	0.160004	0.324663	0.2694	0.1369	diagnostic
1.99526	0.0480949	0.178752	0.362668	0.2691	0.1228	diagnostic
2.23872	0.0536903	0.199871	0.405474	0.2686	0.1101	diagnostic
2.51189	0.0599665	0.223642	0.453644	0.2681	0.0986	diagnostic
2.81838	0.0669983	0.250382	0.507815	0.2676	0.0882	diagnostic
3.16228	0.0748682	0.280444	0.5687	0.2670	0.0789	diagnostic
3.54813	0.0836672	0.314228	0.6371	0.2663	0.0705	diagnostic
3.98107	0.0934951	0.352182	0.713916	0.2655	0.0630	diagnostic
4.46684	0.10446	0.39481	0.800156	0.2646	0.0563	diagnostic
5.01187	0.116682	0.442679	0.896953	0.2636	0.0502	diagnostic
5.62341	0.130286	0.496423	1.00558	0.2624	0.0449	diagnostic
6.30957	0.145412	0.556758	1.12745	0.2612	0.0401	diagnostic
7.07946	0.162204	0.624484	1.26416	0.2597	0.0358	diagnostic
7.94328	0.180818	0.700503	1.4175	0.2581	0.0320	diagnostic
8.91251	0.201416	0.785824	1.58948	0.2563	0.0286	diagnostic
354.813	6.67642	31.4061	62.9212	0.2126	0.0050	diagnostic
398.107	7.53179	35.2392	70.617	0.2137	0.0049	diagnostic
446.684	8.49282	39.54	79.2523	0.2148	0.0049	diagnostic
501.187	9.57224	44.3654	88.9417	0.2158	0.0049	diagnostic
562.341	10.7843	49.7796	99.8137	0.2166	0.0049	diagnostic
630.957	12.1452	55.8543	112.013	0.2174	0.0049	diagnostic
707.946	13.6728	62.6703	125.7	0.2182	0.0049	diagnostic
794.328	15.3874	70.3178	141.058	0.2188	0.0049	diagnostic
891.251	17.3118	78.8985	158.29	0.2194	0.0049	diagnostic
1000	19.4714	88.5261	177.625	0.2200	0.0049	diagnostic
