tau_d	beta_hat	sigma_fisher	u95_fisher	u95_Kdyn	u95_Kstatic	z	survival
2	-9.16742e-11	6.90269e-11	2.05219e-10	1.36475e-09	1.2642e-07	-1.3281	0.1825
2.19278	-8.9799e-11	6.98277e-11	2.04664e-10	1.37984e-09	1.27887e-07	-1.2860	0.1863
2.40415	-8.78093e-11	7.05091e-11	2.03799e-10	1.39261e-09	1.29135e-07	-1.2454	0.1903
2.63589	-8.57709e-11	7.10873e-11	2.02716e-10	1.40337e-09	1.30194e-07	-1.2066	0.1943
2.88997	-8.37397e-11	7.15784e-11	2.01499e-10	1.41246e-09	1.31093e-07	-1.1699	0.1981
3.16853	-8.17619e-11	7.19981e-11	2.0022e-10	1.42019e-09	1.31862e-07	-1.1356	0.2018
3.47395	-7.98745e-11	7.23611e-11	1.98939e-10	1.42685e-09	1.32527e-07	-1.1038	0.2050
3.80881	-7.81062e-11	7.26811e-11	1.97708e-10	1.43271e-09	1.33113e-07	-1.0746	0.2077
4.17595	-7.64788e-11	7.29705e-11	1.96569e-10	1.43802e-09	1.33643e-07	-1.0481	0.2097
4.57848	-7.50087e-11	7.32409e-11	1.95558e-10	1.44299e-09	1.34138e-07	-1.0241	0.2110
5	-7.37603e-11	7.34917e-11	1.94736e-10	1.44764e-09	1.34597e-07	-1.0037	0.2113
5.0198	-7.3708e-11	7.35029e-11	1.94702e-10	1.44785e-09	1.34618e-07	-1.0028	0.2113
5.50367	-7.25855e-11	7.37665e-11	1.94028e-10	1.45277e-09	1.351e-07	-0.9840	0.2108
6.03418	-7.16483e-11	7.4041e-11	1.93558e-10	1.45795e-09	1.35603e-07	-0.9677	0.2094
6.61582	-7.09019e-11	7.43359e-11	1.9331e-10	1.46356e-09	1.36143e-07	-0.9538	0.2070
7.25353	-7.03517e-11	7.46605e-11	1.93307e-10	1.46979e-09	1.36738e-07	-0.9423	0.2039
7.95271	-7.00032e-11	7.50245e-11	1.93569e-10	1.47683e-09	1.37404e-07	-0.9331	0.2000
8.71928	-6.98627e-11	7.54381e-11	1.94118e-10	1.48488e-09	1.38162e-07	-0.9261	0.1955
9.55975	-6.99378e-11	7.59124e-11	1.94981e-10	1.49415e-09	1.39031e-07	-0.9213	0.1905
10.4812	-7.02376e-11	7.64599e-11	1.96186e-10	1.50489e-09	1.40033e-07	-0.9186	0.1850
11.4915	-7.07738e-11	7.70943e-11	1.97768e-10	1.51737e-09	1.41195e-07	-0.9180	0.1791
12.5992	-7.156e-11	7.78314e-11	1.99767e-10	1.53189e-09	1.42545e-07	-0.9194	0.1729
13.8137	-7.26131e-11	7.8689e-11	2.02228e-10	1.54882e-09	1.44116e-07	-0.9228	0.1666
15.1452	-7.39529e-11	7.96876e-11	2.05205e-10	1.56855e-09	1.45945e-07	-0.9280	0.1601
16.6051	-7.56025e-11	8.08506e-11	2.08761e-10	1.59155e-09	1.48075e-07	-0.9351	0.1535
18	-7.73242e-11	8.20261e-11	2.12409e-10	1.6148e-09	1.50228e-07	-0.9427	0.1477
18.2056	-7.75886e-11	8.22046e-11	2.12966e-10	1.61833e-09	1.50554e-07	-0.9438	0.1469
19.9605	-7.99412e-11	8.37799e-11	2.17901e-10	1.6495e-09	1.5344e-07	-0.9542	0.1404
21.8845	-8.26933e-11	8.56106e-11	2.23654e-10	1.68574e-09	1.56792e-07	-0.9659	0.1340
23.994	-8.58807e-11	8.77349e-11	2.30325e-10	1.72778e-09	1.60683e-07	-0.9789	0.1277
26.3068	-8.95402e-11	9.01949e-11	2.38021e-10	1.77646e-09	1.65188e-07	-0.9927	0.1217
28.8426	-9.37089e-11	9.30366e-11	2.46854e-10	1.8327e-09	1.70393e-07	-1.0072	0.1160
31.6228	-9.84216e-11	9.63095e-11	2.56942e-10	1.89745e-09	1.76387e-07	-1.0219	0.1105
34.6709	-1.03708e-10	1.00066e-10	2.68399e-10	1.97175e-09	1.83267e-07	-1.0364	0.1054
38.0129	-1.09592e-10	1.04361e-10	2.81341e-10	2.05666e-09	1.91133e-07	-1.0501	0.1006
41.6771	-1.16085e-10	1.0925e-10	2.95871e-10	2.15329e-09	2.00087e-07	-1.0626	0.0963
45.6944	-1.2319e-10	1.1479e-10	3.12085e-10	2.26273e-09	2.10233e-07	-1.0732	0.0923
50.0989	-1.30897e-10	1.21038e-10	3.30069e-10	2.38611e-09	2.21677e-07	-1.0814	0.0888
