tau_d	beta_hat	sigma_fisher	u95_fisher	u95_K10	u95_K934
2	1.01616e-11	5.94158e-11	1.18136e-10	1.1647e-09	1.08767e-07
2.19278	7.28687e-12	6.03564e-11	1.19154e-10	1.18305e-09	1.10489e-07
2.40415	4.49208e-12	6.1209e-11	1.2029e-10	1.19971e-09	1.1205e-07
2.63589	1.80345e-12	6.19792e-11	1.21528e-10	1.21478e-09	1.1346e-07
2.88997	-7.58628e-13	6.26735e-11	1.22847e-10	1.22838e-09	1.14731e-07
3.16853	-3.1791e-12	6.32987e-11	1.24219e-10	1.24065e-09	1.15875e-07
3.47395	-5.4477e-12	6.38623e-11	1.25622e-10	1.25172e-09	1.16907e-07
3.80881	-7.55824e-12	6.43714e-11	1.27031e-10	1.26174e-09	1.17839e-07
4.17595	-9.50781e-12	6.48334e-11	1.28426e-10	1.27085e-09	1.18684e-07
4.57848	-1.12961e-11	6.52553e-11	1.29792e-10	1.27917e-09	1.19457e-07
5	-1.28582e-11	6.56278e-11	1.3106e-10	1.28653e-09	1.20139e-07
5.0198	-1.29249e-11	6.56439e-11	1.31116e-10	1.28685e-09	1.20168e-07
5.50367	-1.43971e-11	6.60059e-11	1.32389e-10	1.294e-09	1.20831e-07
6.03418	-1.57166e-11	6.63477e-11	1.33607e-10	1.30076e-09	1.21457e-07
6.61582	-1.68879e-11	6.66759e-11	1.34769e-10	1.30724e-09	1.22057e-07
7.25353	-1.79154e-11	6.69968e-11	1.35875e-10	1.31358e-09	1.22645e-07
7.95271	-1.88036e-11	6.73171e-11	1.36929e-10	1.31991e-09	1.23231e-07
8.71928	-1.95565e-11	6.76435e-11	1.37938e-10	1.32634e-09	1.23829e-07
9.55975	-2.01776e-11	6.79834e-11	1.38911e-10	1.33304e-09	1.24451e-07
10.4812	-2.06698e-11	6.83446e-11	1.3986e-10	1.34014e-09	1.25112e-07
11.4915	-2.10353e-11	6.87357e-11	1.40797e-10	1.34783e-09	1.25828e-07
12.5992	-2.12755e-11	6.91663e-11	1.41739e-10	1.35628e-09	1.26616e-07
13.8137	-2.13908e-11	6.96473e-11	1.42707e-10	1.36571e-09	1.27497e-07
15.1452	-2.13808e-11	7.01909e-11	1.43722e-10	1.37635e-09	1.28492e-07
16.6051	-2.12443e-11	7.08111e-11	1.44813e-10	1.3885e-09	1.29627e-07
18	-2.10188e-11	7.14303e-11	1.45856e-10	1.40061e-09	1.30761e-07
18.2056	-2.0979e-11	7.15239e-11	1.46011e-10	1.40245e-09	1.30932e-07
19.9605	-2.05818e-11	7.23478e-11	1.47355e-10	1.41856e-09	1.3244e-07
21.8845	-2.00487e-11	7.33037e-11	1.48889e-10	1.43726e-09	1.3419e-07
23.994	-1.93752e-11	7.44156e-11	1.50664e-10	1.45901e-09	1.36226e-07
26.3068	-1.85558e-11	7.57107e-11	1.52742e-10	1.48435e-09	1.38596e-07
28.8426	-1.75844e-11	7.72198e-11	1.55192e-10	1.51387e-09	1.41359e-07
31.6228	-1.64545e-11	7.89776e-11	1.58096e-10	1.54827e-09	1.44577e-07
34.6709	-1.51591e-11	8.10227e-11	1.61543e-10	1.58829e-09	1.48321e-07
38.0129	-1.36905e-11	8.33979e-11	1.65636e-10	1.63479e-09	1.52669e-07
41.6771	-1.20405e-11	8.61503e-11	1.70488e-10	1.68868e-09	1.57707e-07
45.6944	-1.02e-11	8.93311e-11	1.76221e-10	1.75097e-09	1.6353e-07
50.0989	-8.15909e-12	9.29956e-11	1.82967e-10	1.82275e-09	1.70238e-07
52	-7.27349e-12	9.46296e-11	1.86017e-10	1.85476e-09	1.7323e-07
54.928	-5.90606e-12	9.72033e-11	1.90866e-10	1.90518e-09	1.77941e-07
60.2226	-3.42758e-12	1.02018e-10	2.00064e-10	1.99953e-09	1.86755e-07
66.0276	-7.08028e-13	1.07506e-10	2.10712e-10	2.10708e-09	1.96801e-07
