tau_d	u95pm_fisher	u95pm_K10	u95pm_K934	u95pm_K10_fullrank	worst_toff_K10_d	survival_K10	u95phys_K10
2	2.794e-10	1.68e-09	1.569e-07	3.534e-09	104.3	0.1059	17.96
2.19278	2.821e-10	1.708e-09	1.596e-07	3.892e-09	104.3	0.1017	17.96
2.40415	2.848e-10	1.735e-09	1.621e-07	4.293e-09	106	0.1096	17.92
2.63589	2.866e-10	1.76e-09	1.644e-07	4.74e-09	106	0.1059	17.84
2.88997	2.875e-10	1.78e-09	1.663e-07	5.237e-09	106	0.1023	17.85
3.16853	2.877e-10	1.797e-09	1.678e-07	5.79e-09	106	0.0988	17.91
3.47395	2.891e-10	1.81e-09	1.69e-07	6.413e-09	107.7	0.0953	17.92
3.80881	2.899e-10	1.821e-09	1.7e-07	7.109e-09	107.7	0.0997	17.9
4.17595	2.899e-10	1.834e-09	1.713e-07	7.883e-09	107.7	0.0966	17.91
4.57848	2.894e-10	1.844e-09	1.722e-07	8.739e-09	109.4	0.0935	18.03
5	2.884e-10	1.852e-09	1.729e-07	9.673e-09	109.4	0.0910	18.11
5.0198	2.884e-10	1.852e-09	1.729e-07	9.718e-09	109.4	0.0909	18.11
5.50367	2.885e-10	1.858e-09	1.734e-07	1.08e-08	109.4	0.0885	18.16
6.03418	2.893e-10	1.862e-09	1.738e-07	1.196e-08	109.4	0.0864	18.18
6.61582	2.894e-10	1.87e-09	1.746e-07	1.333e-08	111.1	0.0876	18.19
7.25353	2.891e-10	1.878e-09	1.753e-07	1.477e-08	111.1	0.0856	18.18
7.95271	2.885e-10	1.885e-09	1.759e-07	1.636e-08	112.7	0.0837	18.17
8.71928	2.878e-10	1.891e-09	1.764e-07	1.809e-08	112.7	0.0822	18.15
9.55975	2.868e-10	1.896e-09	1.769e-07	1.99e-08	114.3	0.0808	18.14
10.4812	2.86e-10	1.901e-09	1.773e-07	2.179e-08	114.3	0.0797	18.13
11.4915	2.852e-10	1.907e-09	1.779e-07	2.38e-08	116	0.0787	18.13
12.5992	2.856e-10	1.913e-09	1.785e-07	2.547e-08	117.6	0.0779	18.14
13.8137	2.878e-10	1.928e-09	1.799e-07	2.746e-08	119.3	0.0779	18.16
15.1452	2.897e-10	1.943e-09	1.814e-07	2.928e-08	120.9	0.0773	18.2
16.6051	2.916e-10	1.96e-09	1.829e-07	3.077e-08	120.9	0.0766	18.34
18	2.933e-10	1.976e-09	1.844e-07	3.166e-08	122.5	0.0762	18.47
18.2056	2.935e-10	1.978e-09	1.846e-07	3.197e-08	122.5	0.0761	18.49
19.9605	2.957e-10	1.999e-09	1.866e-07	3.301e-08	124.2	0.0757	18.65
21.8845	2.981e-10	2.024e-09	1.888e-07	3.396e-08	125.8	0.0754	18.84
23.994	3.01e-10	2.052e-09	1.915e-07	3.486e-08	127.4	0.0751	19.05
26.3068	3.046e-10	2.086e-09	1.946e-07	3.566e-08	130.7	0.0751	19.29
28.8426	3.089e-10	2.125e-09	1.983e-07	3.63e-08	132.3	0.0749	19.57
31.6228	3.141e-10	2.172e-09	2.027e-07	3.654e-08	134	0.0747	19.9
34.6709	3.205e-10	2.227e-09	2.078e-07	3.824e-08	137.2	0.0748	20.29
