lambda	alpha	uniform_radius_ratio	uniform_density_ratio	uniform_Pc_ratio	uniform_absEg_ratio	uniform_Pi_ratio	n1_radius_ratio	n1_rho_c_ratio	n1_Pc_ratio	n1_absEg_ratio	n1_Pi_ratio
0.000000	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.002002	9.979980e-01	1.000000e+00	1.000000e+00	9.979980e-01	9.979980e-01	9.979980e-01	1.001003e+00	9.969985e-01	9.940060e-01	9.969985e-01	9.969985e-01
0.004004	9.959960e-01	1.000000e+00	1.000000e+00	9.959960e-01	9.959960e-01	9.959960e-01	1.002008e+00	9.940000e-01	9.880360e-01	9.940000e-01	9.940000e-01
0.006006	9.939940e-01	1.000000e+00	1.000000e+00	9.939940e-01	9.939940e-01	9.939940e-01	1.003017e+00	9.910045e-01	9.820900e-01	9.910045e-01	9.910045e-01
0.008008	9.919920e-01	1.000000e+00	1.000000e+00	9.919920e-01	9.919920e-01	9.919920e-01	1.004028e+00	9.880121e-01	9.761678e-01	9.880121e-01	9.880121e-01
0.010010	9.899900e-01	1.000000e+00	1.000000e+00	9.899900e-01	9.899900e-01	9.899900e-01	1.005043e+00	9.850226e-01	9.702695e-01	9.850226e-01	9.850226e-01
0.012012	9.879880e-01	1.000000e+00	1.000000e+00	9.879880e-01	9.879880e-01	9.879880e-01	1.006061e+00	9.820362e-01	9.643951e-01	9.820362e-01	9.820362e-01
0.014014	9.859860e-01	1.000000e+00	1.000000e+00	9.859860e-01	9.859860e-01	9.859860e-01	1.007082e+00	9.790528e-01	9.585443e-01	9.790528e-01	9.790528e-01
0.016016	9.839840e-01	1.000000e+00	1.000000e+00	9.839840e-01	9.839840e-01	9.839840e-01	1.008106e+00	9.760724e-01	9.527173e-01	9.760724e-01	9.760724e-01
0.018018	9.819820e-01	1.000000e+00	1.000000e+00	9.819820e-01	9.819820e-01	9.819820e-01	1.009133e+00	9.730951e-01	9.469140e-01	9.730951e-01	9.730951e-01
0.020020	9.799800e-01	1.000000e+00	1.000000e+00	9.799800e-01	9.799800e-01	9.799800e-01	1.010163e+00	9.701207e-01	9.411343e-01	9.701207e-01	9.701207e-01
0.022022	9.779780e-01	1.000000e+00	1.000000e+00	9.779780e-01	9.779780e-01	9.779780e-01	1.011196e+00	9.671495e-01	9.353781e-01	9.671495e-01	9.671495e-01
0.024024	9.759760e-01	1.000000e+00	1.000000e+00	9.759760e-01	9.759760e-01	9.759760e-01	1.012233e+00	9.641812e-01	9.296455e-01	9.641812e-01	9.641812e-01
