sigma1	sigma2	posterior
-8.000000000000000383e-04	-2.000000000000000000e+05	1.279357224600710703e-149
-8.000000000000000383e-04	-1.950000000000000000e+05	8.084909931707534844e-149
-8.000000000000000383e-04	-1.900000000000000000e+05	5.081593599641958762e-148
-8.000000000000000383e-04	-1.850000000000000000e+05	3.176625778039250393e-147
-8.000000000000000383e-04	-1.800000000000000000e+05	1.975029402432425931e-146
-8.000000000000000383e-04	-1.750000000000000000e+05	1.221300284102505233e-145
-8.000000000000000383e-04	-1.700000000000000000e+05	7.511258940471005103e-145
-8.000000000000000383e-04	-1.650000000000000000e+05	4.594564926054781407e-144
-8.000000000000000383e-04	-1.600000000000000000e+05	2.795229268214198760e-143
-8.000000000000000383e-04	-1.550000000000000000e+05	1.691343662040863647e-142
-8.000000000000000383e-04	-1.500000000000000000e+05	1.017859111708219629e-141
-8.000000000000000383e-04	-1.450000000000000000e+05	6.092350210833673993e-141
-8.000000000000000383e-04	-1.400000000000000000e+05	3.626798562539166591e-140
-8.000000000000000383e-04	-1.350000000000000000e+05	2.147352749969875894e-139
-8.000000000000000383e-04	-1.300000000000000000e+05	1.264517178675098678e-138
-8.000000000000000383e-04	-1.250000000000000000e+05	7.406063949710359071e-138
-8.000000000000000383e-04	-1.200000000000000000e+05	4.314113482114499191e-137
-8.000000000000000383e-04	-1.150000000000000000e+05	2.499407423137058757e-136
-8.000000000000000383e-04	-1.100000000000000000e+05	1.440203721561954779e-135
-8.000000000000000383e-04	-1.050000000000000000e+05	8.253766632955769991e-135
-8.000000000000000383e-04	-1.000000000000000000e+05	4.704590477762731202e-134
-8.000000000000000383e-04	-9.500000000000000000e+04	2.667060381705468345e-133
-8.000000000000000383e-04	-9.000000000000000000e+04	1.503783288340383148e-132
-8.000000000000000383e-04	-8.500000000000000000e+04	8.432940640731605175e-132
-8.000000000000000383e-04	-8.000000000000000000e+04	4.703424918095704894e-131
-8.000000000000000383e-04	-7.500000000000000000e+04	2.609100278446548275e-130
-8.000000000000000383e-04	-7.000000000000000000e+04	1.439490190633103932e-129
-8.000000000000000383e-04	-6.500000000000000000e+04	7.898925749569422825e-129
-8.000000000000000383e-04	-6.000000000000000000e+04	4.310907818855860450e-128
-8.000000000000000383e-04	-5.500000000000000000e+04	2.339972881687774740e-127
-8.000000000000000383e-04	-5.000000000000000000e+04	1.263264510563870471e-126
-8.000000000000000383e-04	-4.500000000000000000e+04	6.782958340834153604e-126
-8.000000000000000383e-04	-4.000000000000000000e+04	3.622308101400705925e-125
-8.000000000000000383e-04	-3.500000000000000000e+04	1.923946572992179574e-124
-8.000000000000000383e-04	-3.000000000000000000e+04	1.016347004356132948e-123
-8.000000000000000383e-04	-2.500000000000000000e+04	5.339891075367188599e-123
-8.000000000000000383e-04	-2.000000000000000000e+04	2.790385254239385608e-122
-8.000000000000000383e-04	-1.500000000000000000e+04	1.450231457476456627e-121
-8.000000000000000383e-04	-1.000000000000000000e+04	7.496384561206540874e-121
-8.000000000000000383e-04	-5.000000000000000000e+03	3.853965094904328270e-120
-8.000000000000000383e-04	0.000000000000000000e+00	1.970629952221018713e-119
-8.000000000000000383e-04	5.000000000000000000e+03	1.002175462404241120e-118
-8.000000000000000383e-04	1.000000000000000000e+04	5.069018006151378348e-118
-8.000000000000000383e-04	1.500000000000000000e+04	2.550029977187321043e-117
-8.000000000000000383e-04	2.000000000000000000e+04	1.275874979878118372e-116
-8.000000000000000383e-04	2.500000000000000000e+04	6.349102510987305083e-116
-8.000000000000000383e-04	3.000000000000000000e+04	3.142374489920328017e-115
-8.000000000000000383e-04	3.500000000000000000e+04	1.546838329237492450e-114
-8.000000000000000383e-04	4.000000000000000000e+04	7.573093042725330061e-114
-8.000000000000000383e-04	4.500000000000000000e+04	3.687593521576422116e-113
-8.000000000000000383e-04	5.000000000000000000e+04	1.785887827801172300e-112
-8.000000000000000383e-04	5.500000000000000000e+04	8.602143720469335564e-112
-8.000000000000000383e-04	6.000000000000000000e+04	4.120980831449534959e-111
-8.000000000000000383e-04	6.500000000000000000e+04	1.963522479707897680e-110
-8.000000000000000383e-04	7.000000000000000000e+04	9.304917869759533076e-110
-8.000000000000000383e-04	7.500000000000000000e+04	4.385615910313827121e-109
