sigma1	sigma2	posterior
-8.000000000000000383e-04	-2.000000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.950000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.900000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.850000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.800000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.750000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.700000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.650000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.600000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.550000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.500000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.450000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.400000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.350000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.300000000000000000e+05	0.000000000000000000e+00
-8.000000000000000383e-04	-1.250000000000000000e+05	4.940656458412465442e-324
-8.000000000000000383e-04	-1.200000000000000000e+05	1.136350985434867052e-322
-8.000000000000000383e-04	-1.150000000000000000e+05	1.748992386278012766e-321
-8.000000000000000383e-04	-1.100000000000000000e+05	2.726254233751998431e-320
-8.000000000000000383e-04	-1.050000000000000000e+05	4.231227597549019529e-319
-8.000000000000000383e-04	-1.000000000000000000e+05	6.531681235745656451e-318
-8.000000000000000383e-04	-9.500000000000000000e+04	1.002822136035324218e-316
-8.000000000000000383e-04	-9.000000000000000000e+04	1.531313856122989856e-315
-8.000000000000000383e-04	-8.500000000000000000e+04	2.325658279037538758e-314
-8.000000000000000383e-04	-8.000000000000000000e+04	3.512925788728451573e-313
-8.000000000000000383e-04	-7.500000000000000000e+04	5.277563065813051156e-312
-8.000000000000000383e-04	-7.000000000000000000e+04	7.885682212380047584e-311
-8.000000000000000383e-04	-6.500000000000000000e+04	1.171889043846666338e-309
-8.000000000000000383e-04	-6.000000000000000000e+04	1.732108527440314399e-308
-8.000000000000000383e-04	-5.500000000000000000e+04	2.546273726388369435e-307
-8.000000000000000383e-04	-5.000000000000000000e+04	3.722857910577551968e-306
-8.000000000000000383e-04	-4.500000000000000000e+04	5.413638053036219750e-305
-8.000000000000000383e-04	-4.000000000000000000e+04	7.829668133796404944e-304
-8.000000000000000383e-04	-3.500000000000000000e+04	1.126260560119600199e-302
-8.000000000000000383e-04	-3.000000000000000000e+04	1.611297676106956250e-301
-8.000000000000000383e-04	-2.500000000000000000e+04	2.292736096759613719e-300
-8.000000000000000383e-04	-2.000000000000000000e+04	3.244693953518273496e-299
-8.000000000000000383e-04	-1.500000000000000000e+04	4.567039770990134713e-298
-8.000000000000000383e-04	-1.000000000000000000e+04	6.393478819521469640e-297
-8.000000000000000383e-04	-5.000000000000000000e+03	8.901865969951769835e-296
-8.000000000000000383e-04	0.000000000000000000e+00	1.232725144483653118e-294
-8.000000000000000383e-04	5.000000000000000000e+03	1.697824675835698705e-293
-8.000000000000000383e-04	1.000000000000000000e+04	2.325738118909824474e-292
-8.000000000000000383e-04	1.500000000000000000e+04	3.168620035058779714e-291
-8.000000000000000383e-04	2.000000000000000000e+04	4.293593254022688281e-290
-8.000000000000000383e-04	2.500000000000000000e+04	5.786460850340064986e-289
-8.000000000000000383e-04	3.000000000000000000e+04	7.756155749043965470e-288
-8.000000000000000383e-04	3.500000000000000000e+04	1.034002066887826296e-286
-8.000000000000000383e-04	4.000000000000000000e+04	1.371000696568592821e-285
-8.000000000000000383e-04	4.500000000000000000e+04	1.807987098781006849e-284
-8.000000000000000383e-04	5.000000000000000000e+04	2.371342920980825774e-283
-8.000000000000000383e-04	5.500000000000000000e+04	3.093390732303736998e-282
-8.000000000000000383e-04	6.000000000000000000e+04	4.013438211211002591e-281
-8.000000000000000383e-04	6.500000000000000000e+04	5.178926714222556297e-280
-8.000000000000000383e-04	7.000000000000000000e+04	6.646673302893388221e-279
-8.000000000000000383e-04	7.500000000000000000e+04	8.484187999780530833e-278
-8.000000000000000383e-04	8.000000000000000000e+04	1.077103946441615425e-276
-8.000000000000000383e-04	8.500000000000000000e+04	1.360023253518441521e-275
