time_days	observed_range_m	baseline_range_m	fitted_range_m	fit_residual_m
0.000000000000000000e+00	3.844000018202444911e+08	3.844000000000000000e+08	3.844000018210056424e+08	-7.611513137817382812e-04
1.000000000000000000e+00	3.845101832385280132e+08	3.845101798083577752e+08	3.845101832459560633e+08	-7.428050041198730469e-03
2.000000000000000000e+00	3.848040690286304355e+08	3.848040645571496487e+08	3.848040690304884315e+08	-1.857995986938476562e-03
3.000000000000000000e+00	3.851793361719543338e+08	3.851793312791574001e+08	3.851793361604337692e+08	1.152056455612182617e-02
4.000000000000000000e+00	3.854892146157042384e+08	3.854892099680610895e+08	3.854892146169728041e+08	-1.268565654754638672e-03
5.000000000000000000e+00	3.855727503476768136e+08	3.855727465579431653e+08	3.855727503522316813e+08	-4.554867744445800781e-03
6.000000000000000000e+00	3.852881781934498549e+08	3.852881758345551491e+08	3.852881781950168014e+08	-1.566946506500244141e-03
7.000000000000000000e+00	3.845435608512930274e+08	3.845435604440052509e+08	3.845435608550424576e+08	-3.749430179595947266e-03
8.000000000000000000e+00	3.833198616342157722e+08	3.833198636047016978e+08	3.833198616332828403e+08	9.329319000244140625e-04
9.000000000000000000e+00	3.816828756890941858e+08	3.816828803689704537e+08	3.816828756850744486e+08	4.019737243652343750e-03
1.000000000000000000e+01	3.797816136391911507e+08	3.797816212420966029e+08	3.797816136421087980e+08	-2.917647361755371094e-03
1.100000000000000000e+01	3.778319762811251879e+08	3.778319868483480215e+08	3.778319762797930837e+08	1.332104206085205078e-03
1.200000000000000000e+01	3.760863721565322280e+08	3.760863855807223320e+08	3.760863721629991531e+08	-6.466925144195556641e-03
1.300000000000000000e+01	3.747926978318932056e+08	3.747927137974209785e+08	3.747926978304921985e+08	1.401007175445556641e-03
1.400000000000000000e+01	3.741495353869822621e+08	3.741495534308640361e+08	3.741495353840612769e+08	2.920985221862792969e-03
1.500000000000000000e+01	3.742672223813862205e+08	3.742672419079501033e+08	3.742672223854929805e+08	-4.106760025024414062e-03
1.600000000000000000e+01	3.751447140257468224e+08	3.751447343308080435e+08	3.751447140181972980e+08	7.549524307250976562e-03
1.700000000000000000e+01	3.766687180010022521e+08	3.766687383947483897e+08	3.766687179973993897e+08	3.602862358093261719e-03
1.800000000000000000e+01	3.786353140924543738e+08	3.786353339038259387e+08	3.786353140919011831e+08	5.531907081604003906e-04
1.900000000000000000e+01	3.807879383270247579e+08	3.807879569552608132e+08	3.807879383253330588e+08	1.691699028015136719e-03
2.000000000000000000e+01	3.828620230434049368e+08	3.828620399884838462e+08	3.828620230453267097e+08	-1.921772956848144531e-03
2.100000000000000000e+01	3.846266959122221470e+08	3.846267107584630847e+08	3.846266959130855203e+08	-8.633732795715332031e-04
2.200000000000000000e+01	3.859166377272832990e+08	3.859166501498849392e+08	3.859166377256389260e+08	1.644372940063476562e-03
2.300000000000000000e+01	3.866505725774729848e+08	3.866505823369508386e+08	3.866505725749331117e+08	2.539873123168945312e-03
2.400000000000000000e+01	3.868355611980057955e+08	3.868355681531639099e+08	3.868355612103550434e+08	-1.234924793243408203e-02
2.500000000000000000e+01	3.865579561188328266e+08	3.865579601782442927e+08	3.865579561155561805e+08	3.276646137237548828e-03
2.600000000000000000e+01	3.859629377056593299e+08	3.859629389507949948e+08	3.859629377125065327e+08	-6.847202777862548828e-03
2.700000000000000000e+01	3.852255440665920377e+08	3.852255426809176207e+08	3.852255440709962249e+08	-4.404187202453613281e-03
2.800000000000000000e+01	3.845173275172833204e+08	3.845173238630484939e+08	3.845173275266056061e+08	-9.322285652160644531e-03
2.900000000000000000e+01	3.839740247814729810e+08	3.839740193610938787e+08	3.839740247797209024e+08	1.752078533172607422e-03
3.000000000000000000e+01	3.836702655848947763e+08	3.836702590703061819e+08	3.836702655775173306e+08	7.377445697784423828e-03
