source_label	source_file	crd_format_version	station_name	station_code	target_name	target_id	timestamp_utc	sec_of_day	time_of_flight_s	one_way_range_m	epoch_event	np_window_length_s	num_ranges	bin_rms_ps	bin_skew	bin_kurtosis	bin_pmm_ps	return_rate_hz	detector_channel	signal_to_noise	pressure_mbar	temperature_k	humidity_pct
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-03T00:37:50Z	2270.0	2.4782730708529	371483787.75309956	2	249.0	159	298.0					0	208.5			
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-03T00:43:55Z	2635.0	2.4787905069709	371561349.4759361	2	250.0	592	295.6					0	59.3	731.53	280.17	35.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-03T01:19:25Z	4765.0	2.4821279124943	372061613.97853756	2	251.0	464	293.0					0	644.3	731.63	279.84	35.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-06T00:39:45Z	2385.0	2.4290945173827	364112108.04024166	2	158.0	92	189.7					0	357.6	731.83	279.81	36.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-06T00:53:25Z	3205.0	2.4293347367045	364148116.01071244	2	250.0	377	173.8					0	1200.0	724.97	272.45	15.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-06T00:58:30Z	3510.0	2.4294546131835	364166085.0428604	2	251.0	693	182.5					0	91.8	725.12	272.33	15.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T13:37:43.991506Z	49063.99150574601	2.440614213147	365838866.99453753	2	688.0	44	213.1	0.295	0.065		0.7	0	8.9	864.15	279.25	34.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T14:29:29.956741Z	52169.95674145056	2.434895792151	364981697.2514027	2	934.0	48	178.2	0.35	-0.112		0.8	0	11.6	864.65	279.05	32.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T16:17:02.709156Z	58622.709155996	2.426184654684	363675930.5947988	2	611.0	156	130.3	0.088	-0.272		2.6	0	71.5	865.35	277.15	37.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T17:15:21.190677Z	62121.190677207385	2.42374047359	363309557.0658151	2	862.0	73	129.0	0.299	-0.141		1.2	0	26.7	866.15	276.55	41.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T17:30:14.910967Z	63014.910967425974	2.423403003915	363258971.6341307	2	830.0	33	91.9	-0.037	-0.142		0.6	0	18.4	866.05	276.15	44.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T17:45:55.847411Z	63955.84741103699	2.423177111266	363225111.1778868	2	727.0	48	163.7	0.4	0.094		0.8	0	18.6	866.15	276.25	43.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-07T17:57:43.161404Z	64663.161404261686	2.423095167618	363212828.1340611	2	773.0	54	130.9	0.022	-0.332		0.9	0	21.7	866.45	276.05	45.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-08T13:47:47.917629Z	49667.9176286692	2.443146029769	366218376.7586949	2	635.0	206	102.3	-0.074	0.0		3.4	0	71.8	869.65	285.25	60.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-09T17:10:01.168607Z	61801.16860662479	2.431259142245	364436577.1443001	2	701.0	62	137.0	0.108	-0.579		1.0	0	13.3	865.55	279.15	72.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-09T17:20:44.506566Z	62444.50656565564	2.43052858191	364327068.9050266	2	747.0	50	162.0	0.408	-0.641		0.8	0	9.1	865.65	278.95	72.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-09T17:59:50.862419Z	64790.86241865771	2.428279645045	363989961.749704	2	631.0	78	150.7	0.15	-0.415		1.3	0	16.0	865.65	278.65	72.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-09T18:55:55.659082Z	68155.65908246207	2.426286198769	363691151.6702176	2	573.0	82	130.0	-0.005	-0.736		1.4	0	23.1	865.15	279.35	68.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-09T19:13:32.736077Z	69212.7360772681	2.425977391712	363644862.6568847	2	569.0	105	115.4	0.138	-0.003		1.8	0	32.4	864.95	279.35	67.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-12T06:29:40Z	23380.0	2.4555162719594	368072629.4148525	2	248.0	12	441.9					0	0.8	864.95	279.35	67.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-12T06:38:15Z	23895.0	2.4558922463477	368128986.55785924	2	248.0	86	256.5					0	6.5	717.67	267.85	53.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-12T06:44:30Z	24270.0	2.456191281526	368173810.8034247	2	248.0	103	254.1					0	5.8	717.65	267.85	52.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-12T06:49:25Z	24565.0	2.4564413742808	368211298.76426953	2	149.0	64	258.6					0	6.0	717.6	267.8	52.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-15T23:57:00.211209Z	86220.21120930558	2.556667943171	383234883.4865192	2	327.0	37	224.4	-0.279	-0.367		0.6	0	7.2	878.15	273.05	45.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-16T00:11:40.222245Z	700.222245268223	2.556319144439	383182599.8719124	2	620.0	46	193.7	-0.102	-0.533		0.8	0	5.5	878.05	272.75	47.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-16T00:37:31.767554Z	2251.767554056032	2.555967457883	383129883.38337797	2	689.0	41	164.6	-0.152	-0.174		0.7	0	5.0	878.05	272.75	49.0
apollo15_202501	apollo15_202501.np2	2	GRSM	7845	apollo15	0000103	2025-01-16T01:06:40.718929Z	4000.718928696406	2.555985744685	383132624.5060383	2	638.0	43	239.8	0.402	-0.228		0.7	0	4.1	878.05	272.15	50.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-20T12:41:00Z	45660.0	2.6529476757757	397666852.3330921	2	147.0	494	164.0					0	366.3	878.05	272.15	50.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-20T12:45:45Z	45945.0	2.6531087992796	397691004.13872993	2	248.0	940	167.0					0	92.3	719.11	267.25	46.0
apollo15_202501	apollo15_202501.np2	2	APOL	7045	apollo15	103	2025-01-20T13:35:55Z	48955.0	2.6556639745785	398074015.280469	2	348.0	1005	167.5					0	267.5	719.11	267.28	46.0
apollo15_202502	apollo15_202502.np2	2	APOL	7045	apollo15	103	2025-02-01T01:09:35Z	4175.0	2.4277576473275	363911716.2603042	2	248.0	570	215.4					0	1457.7			
apollo15_202502	apollo15_202502.np2	2	APOL	7045	apollo15	103	2025-02-01T01:18:15Z	4695.0	2.4287952387581	364067247.30299383	2	251.0	479	212.3					0	60.3	729.54	276.49	18.0
apollo15_202502	apollo15_202502.np2	2	APOL	7045	apollo15	103	2025-02-02T01:01:00Z	3660.0	2.4146522410888	361947265.28560996	2	384.0	186	175.3					0	262.6	729.57	276.35	17.0
apollo15_202502	apollo15_202502.np2	2	APOL	7045	apollo15	103	2025-02-02T01:09:45Z	4185.0	2.4155488012955	362081656.27966577	2	347.0	68	184.2					0	8.0	727.08	277.51	13.0
apollo15_202502	apollo15_202502.np2	2	APOL	7045	apollo15	103	2025-02-02T01:36:20Z	5780.0	2.4184834855682	362521554.3854491	2	221.0	11	107.9					0	35.4	727.17	277.78	13.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T10:50:43.874407Z	39043.87440664281	2.433604779129	364788179.267815	2	601.0	64	108.6	-0.04	0.171		1.1	0	29.5	876.55	281.45	40.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T12:07:29.469944Z	43649.46994369086	2.42492670289	363487368.3646144	2	626.0	133	126.5	0.048	-0.43		2.2	0	52.8	876.25	281.55	45.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T13:07:33.083702Z	47253.08370236735	2.419346507594	362650918.1326605	2	608.0	56	157.7	-0.086	-0.194		0.9	0	25.5	876.05	281.65	47.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T14:34:11.258985Z	52451.25898541551	2.413977879918	361846181.089123	2	626.0	119	165.6	0.161	-0.595		2.0	0	63.3	876.15	280.25	54.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T16:17:01.490918Z	58621.49091799502	2.412592326359	361638491.8355514	2	600.0	272	157.6	-0.012	-0.318		4.5	0	159.1	876.65	279.15	62.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T17:12:58.148963Z	61978.148963167834	2.414246674751	361886472.4209644	2	606.0	163	142.4	0.205	-0.474		2.7	0	152.6	876.75	276.55	73.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T18:08:30.003987Z	65310.0039871395	2.417484385785	362371793.0955527	2	589.0	137	141.2	-0.081	-0.382		2.3	0	99.0	877.25	277.55	66.0
apollo15_202502	apollo15_202502.np2	2	GRSM	7845	apollo15	0000103	2025-02-03T19:05:49.221081Z	68749.22108064662	2.422309041341	363094990.76962095	2	592.0	23	160.2	0.273	-0.688		0.4	0	24.3	877.55	277.85	57.0
