timestamp_utc	batch_label	reflector_name	one_way_range_m	nominal_geocentric_range_m	nominal_residual_m	surrogate_correction_m	fitted_residual_m	uncertainty_ps	one_way_sigma_m
2006-04-07T06:26:30Z	group_a	Apollo15	397139963.21191555	402720469.8570177	-5580506.645102143	-6554113.35723171	973606.7121295668	75.2	0.0112721964208
2006-04-07T06:32:30Z	group_a	Apollo15	397256379.91164136	402731066.58456224	-5474686.672920883	-6523255.456418609	1048568.7834977265	58.3	0.008738950150699998
2006-04-08T03:35:40Z	group_a	Apollo15	396829784.0057617	404509635.49924624	-7679851.493484557	-6415243.631074406	-1264607.8624101505	32.8	0.0049165963111999994
2006-04-08T03:40:20Z	group_a	Apollo15	396841578.1179477	404514549.74979013	-7672971.631842434	-6374131.789928725	-1298839.8419137094	36.2	0.0054262434898
2006-06-04T02:37:25Z	group_a	Apollo15	397095020.0085678	404079915.7341122	-6984895.725544393	-6389827.495759912	-595068.2297844812	62.8	0.009413483181199998
2006-06-04T02:45:50Z	group_a	Apollo15	397162878.53831017	404079592.40396535	-6916713.865655184	-6281229.340600219	-635484.5250549652	61.1	0.009158659591899999
2006-06-04T02:58:10Z	group_a	Apollo15	397273820.02755535	404079039.18985796	-6805219.162302613	-6274244.327514783	-530974.8347878307	36.1	0.0054112538669
2006-06-04T03:08:30Z	group_a	Apollo15	397377101.3691504	404078503.00002164	-6701401.630871236	-6486738.97736432	-214662.65350691602	14.8	0.0022184641892
2006-06-04T03:18:40Z	group_a	Apollo11	397436125.2349484	404077910.7850163	-6641785.550067902	-6365153.876055546	-276631.6740123555	21.4	0.0032077793005999998
2006-06-04T03:27:30Z	group_a	Apollo14	397469380.529537	404077344.1608949	-6607963.631357849	-6350567.535647079	-257396.0957107693	24.1	0.0036124991189
2006-06-07T02:14:00Z	group_a	Apollo15	392468487.030196	398558991.63737315	-6090504.607177138	-5848752.018793799	-241752.58838333935	63.3	0.0094884312957
2006-06-07T02:33:35Z	group_a	Apollo15	392327546.7658007	398512317.74699867	-6184770.981197953	-5829052.500212431	-355718.48098552227	33.6	0.0050365132944
2006-06-07T02:45:25Z	group_a	Apollo15	392259890.2652964	398484039.41035056	-6224149.145054162	-5694810.288933091	-529338.8561210707	34.1	0.0051114614089
2006-06-07T02:54:45Z	group_a	Apollo15	392215922.7129845	398461695.42945355	-6245772.716469049	-5536890.58758894	-708882.1288801096	58.6	0.0087839190194
2006-06-07T03:39:50Z	group_a	Apollo15	392121029.29882306	398353272.493951	-6232243.195127964	-5239568.036493521	-992675.1586344428	57.1	0.0085590746759
2006-06-18T10:40:30Z	group_a	Apollo15	364045968.94815236	369849616.92283094	-5803647.974678576	-5957530.69460234	153882.71992376447	26.0	0.003897301954
2006-06-18T10:47:05Z	group_a	Apollo15	363964243.12762064	369854285.28049046	-5890042.152869821	-6076832.992428556	186790.8395587355	20.9	0.0031328311861
2006-06-18T10:59:25Z	group_a	Apollo11	363784369.07371694	369863059.4608953	-6078690.387178361	-6050881.067674138	-27809.319504223764	36.7	0.0055011916043
2006-06-18T11:23:50Z	group_a	Apollo15	363574087.8423442	369880539.01692235	-6306451.17457813	-6265753.0551279485	-40698.11945018172	19.3	0.0028929972197000004
2006-06-18T11:41:35Z	group_a	Apollo15	363427760.8739815	369893336.78594065	-6465575.911959171	-6296312.614364415	-169263.2975947559	33.2	0.0049765548028
2006-06-18T11:49:20Z	group_a	Apollo14	363306351.83986187	369898948.4747881	-6592596.6349262595	-6389911.294713058	-202685.34021320194	35.7	0.0053512953753
2006-06-19T11:17:25Z	group_a	Apollo15	365100860.6818714	371149474.1178183	-6048613.435946882	-5732142.005653776	-316471.43029310554	49.5	0.0074198633355
2006-06-19T11:33:00Z	group_a	Apollo15	364906506.10302657	371165784.6036221	-6259278.50059551	-5916281.6681608185	-342996.8324346915	49.8	0.0074648322042
2006-06-19T11:43:10Z	group_a	Apollo15	364790193.6707279	371176453.8517499	-6386260.181021988	-5956115.5349101275	-430144.6461118609	29.1	0.0043619802639000005
2006-06-21T10:53:50Z	group_a	Apollo15	370490363.8811203	374984103.5028032	-4493739.621682882	-5178971.138805881	685231.5171229988	24.8	0.0037174264792000002
2006-06-21T11:10:30Z	group_a	Apollo15	370186201.5331622	375011381.48300314	-4825179.949840963	-5230094.256321393	404914.30648043007	47.5	0.0071200708775
2006-06-21T11:21:00Z	group_a	Apollo15	370000512.9503331	375028595.6701236	-5028082.719790459	-5252292.163778812	224209.443988353	78.0	0.011691905862
2006-06-21T11:26:50Z	group_a	Apollo15	369899516.171753	375038168.8136657	-5138652.641912699	-5246628.0616751015	107975.41976240277	56.9	0.0085290954301
2006-06-21T11:37:20Z	group_a	Apollo15	369721875.69949293	375055417.9431742	-5333542.243681252	-5404511.79097075	70969.54728949815	35.7	0.0053512953753
2006-06-21T11:44:20Z	group_a	Apollo14	369500445.9886419	375066929.8421307	-5566483.853488803	-5486038.216918394	-80445.63657040894	36.9	0.005531170850099999
2006-07-02T02:35:05Z	group_a	Apollo15	398535120.6403808	404404274.6354867	-5869153.995105922	-5464194.105601061	-404959.8895048611	24.6	0.0036874472334000002
2006-07-02T02:55:40Z	group_a	Apollo15	398850184.89496607	404399467.0478016	-5549282.152835548	-5120998.714801848	-428283.4380337	22.4	0.0033576755295999998
2006-07-02T03:11:55Z	group_a	Apollo15	399119645.86430866	404395492.75909173	-5275846.89478308	-5014117.226650346	-261729.66813273355	42.8	0.0064155586011999995
2006-07-03T02:54:40Z	group_a	Apollo15	397622646.4890061	403429174.0857685	-5806527.596762419	-5661134.031475898	-145393.56528652087	15.0	0.002248443435
2006-07-03T03:17:10Z	group_a	Apollo15	397917164.0174339	403404028.3463479	-5486864.328914046	-5403320.375839509	-83543.95307453722	18.5	0.0027730802365
2006-07-03T03:30:05Z	group_a	Apollo15	398103259.6140931	403389454.3750272	-5286194.760934055	-5327195.015016727	41000.2540826723	29.3	0.0043919595097
2006-07-03T03:36:40Z	group_a	Apollo11	398213267.5751364	403381987.50753653	-5168719.932400107	-5328522.915465534	159802.98306542635	18.9	0.0028330387281
2006-07-13T11:22:00Z	group_a	Apollo15	359274737.2094379	364331011.4557199	-5056274.2462819815	-5873346.672143349	817072.425861368	36.4	0.0054562227355999995
2006-07-13T11:28:25Z	group_a	Apollo15	359342338.4634536	364329533.66626805	-4987195.20281446	-5843101.958728902	855906.7559144422	45.8	0.0068652472882
2006-07-13T11:48:05Z	group_a	Apollo15	359569646.2691092	364325166.9652662	-4755520.696157038	-5991113.060133262	1235592.3639762234	37.1	0.0055611500959000006
2006-08-12T11:53:15Z	group_a	Apollo15	356001873.6383558	362186482.44517463	-6184608.806818843	-6495085.688832365	310476.8820135221	17.4	0.0026081943845999997
2006-08-12T12:04:35Z	group_a	Apollo15	356161436.7562878	362207799.48587817	-6046362.729590356	-6501743.774036281	455381.04444592446	17.6	0.0026381736304
2006-08-12T12:13:30Z	group_a	Apollo15	356294216.5186261	362224628.472787	-5930411.954160929	-6553865.711693265	623453.7575323358	18.0	0.0026981321219999997
2006-08-12T12:24:10Z	group_a	Apollo15	356461168.8968547	362244826.72854656	-5783657.831691861	-6631491.470012665	847833.6383208036	19.6	0.0029379660884
2006-10-04T06:30:45Z	group_a	Apollo15	357105390.2568675	362326945.79572284	-5221555.538855314	-5464685.856864918	243130.31800960377	14.0	0.002098547206
2006-10-04T06:42:10Z	group_a	Apollo11	357261801.79459316	362295398.7538445	-5033596.959251344	-5431354.937704757	397757.97845341265	14.4	0.0021585056975999997
2006-10-04T06:50:45Z	group_a	Apollo14	357192301.0416532	362271735.52453536	-5079434.482882142	-5448514.100250784	369079.61736864224	15.5	0.0023233915495
2006-10-10T12:30:45Z	group_a	Apollo15	364135231.7981372	370772278.62491417	-6637046.826776981	-7433540.417820364	796493.5910433829	22.9	0.0034326236441
2006-10-10T12:39:05Z	group_a	Apollo11	364100169.12738407	370806442.85980004	-6706273.732415974	-7504093.149901785	797819.4174858108	25.2	0.0037773849708
2006-10-10T12:50:10Z	group_a	Apollo14	364356389.4440348	370851915.0264856	-6495525.582450807	-7613065.07839445	1117539.4959436432	23.7	0.0035525406272999996
2006-10-10T13:01:10Z	group_a	Apollo15	364689773.9834408	370897083.1560742	-6207309.1726334095	-7685920.084405147	1478610.911771737	22.3	0.0033426859067000004
2006-11-08T08:30:35Z	group_a	Apollo15	367489260.0896576	375171161.7173631	-7681901.627705514	-6984658.898856968	-697242.7288485467	35.9	0.0053812746211
2006-11-12T13:01:50Z	group_a	Apollo15	390528155.1817981	398207576.39761144	-7679421.215813339	-7247277.918143972	-432143.29766936693	57.6	0.008634022790399999
2006-11-12T13:08:55Z	group_a	Apollo15	390550760.5113691	398227591.3540318	-7676830.842662692	-7636201.563792996	-40629.27886969596	16.1	0.0024133292869
2006-11-12T13:25:15Z	group_a	Apollo15	390620494.8720507	398273643.0062336	-7653148.13418287	-7638482.051990949	-14666.08219192177	19.6	0.0029379660884
2006-11-29T00:28:45Z	group_a	Apollo15	363804247.3232212	370058748.8104439	-6254501.4872226715	-6261177.472473472	6675.985250800848	31.9	0.0047816897051
2006-11-29T00:37:50Z	group_a	Apollo15	363724110.8411933	370043421.6796216	-6319310.838428259	-6273878.718862176	-45432.119566082954	25.7	0.0038523330852999996
2006-11-29T00:47:40Z	group_a	Apollo15	363645979.4212647	370026850.2406305	-6380870.819365799	-6339926.12687102	-40944.692494779825	27.8	0.0041671151662
