filename	target	yyyymm	row_count	dominant_station	dominant_station_rows	dominant_station_fraction	station_count	station_mix	coverage_start_utc	coverage_stop_utc	coverage_span_days	median_num_ranges	median_bin_rms_ps	median_bin_pmm_ps	median_return_rate_hz	median_one_way_range_m	diversity_vector_norm
apollo11_202501.np2	apollo11	202501	9	APOL	5	0.555556	2	APOL:5,GRSM:4	2025-01-03T00:56:10Z	2025-01-20T12:56:10Z	17.500000	86.0	164.900		1.000000	365585662.698674	2.397797
apollo14_202501.np2	apollo14	202501	8	APOL	4	0.500000	2	APOL:4,GRSM:4	2025-01-03T01:01:40Z	2025-01-20T12:59:35Z	17.498553	84.5	146.400		0.500000	364997301.333234	2.308202
apollo15_202501.np2	apollo15	202501	30	GRSM	17	0.566667	2	GRSM:17,APOL:13	2025-01-03T00:37:50Z	2025-01-20T13:35:55Z	17.540336	80.0	170.650		0.800000	366028621.876616	3.497148
luna17_202501.np2	luna17	202501	7	GRSM	5	0.714286	2	GRSM:5,APOL:2	2025-01-06T01:06:05Z	2025-01-20T13:02:50Z	14.497743	77.0	152.400		1.000000	364681799.861246	2.157709
luna21_202501.np2	luna21	202501	6	APOL	3	0.500000	2	APOL:3,GRSM:3	2025-01-03T01:06:40Z	2025-01-20T12:51:20Z	17.489352	57.5	155.200		0.800000	368340211.431210	2.070402
apollo11_202502.np2	apollo11	202502	45	GRSM	42	0.933333	2	GRSM:42,APOL:3	2025-02-01T01:35:05Z	2025-02-07T06:51:05Z	6.219444	70.0	148.300		1.200000	364882531.115340	3.861728
apollo14_202502.np2	apollo14	202502	36	GRSM	33	0.916667	2	GRSM:33,APOL:3	2025-02-01T01:37:45Z	2025-02-07T06:56:10Z	6.221123	48.0	139.400		0.800000	364776496.105400	3.646323
apollo15_202502.np2	apollo15	202502	99	GRSM	74	0.747475	3	GRSM:74,APOL:20,MATM:5	2025-02-01T01:09:35Z	2025-02-22T13:26:20Z	21.511632	71.0	159.700		1.000000	367465270.321693	4.672672
luna17_202502.np2	luna17	202502	51	GRSM	48	0.941176	2	GRSM:48,APOL:3	2025-02-01T01:41:25Z	2025-02-07T07:01:45Z	6.222454	56.0	164.000		0.900000	365393506.257310	3.983188
luna21_202502.np2	luna21	202502	71	WETL	41	0.577465	3	WETL:41,GRSM:28,APOL:2	2025-02-01T01:25:35Z	2025-02-07T06:44:20Z	6.221354	92.0	183.000		2.300000	363598172.491563	4.362443
