sigma1	sigma2	posterior
-5.000000000000000240e-05	-4.000000000000000192e-04	2.979313151479176947e-19
-5.000000000000000240e-05	-3.966666666666666952e-04	3.728417145157240931e-19
-5.000000000000000240e-05	-3.933333333333333712e-04	4.662319810812824399e-19
-5.000000000000000240e-05	-3.900000000000000471e-04	5.825711994861498011e-19
-5.000000000000000240e-05	-3.866666666666666689e-04	7.273869641941862668e-19
-5.000000000000000240e-05	-3.833333333333333449e-04	9.075106673984140338e-19
-5.000000000000000240e-05	-3.800000000000000209e-04	1.131378333503231993e-18
-5.000000000000000240e-05	-3.766666666666666969e-04	1.409399276544312391e-18
-5.000000000000000240e-05	-3.733333333333333729e-04	1.754407500948729923e-18
-5.000000000000000240e-05	-3.699999999999999947e-04	2.182213964083174090e-18
-5.000000000000000240e-05	-3.666666666666666707e-04	2.712281683795422704e-18
-5.000000000000000240e-05	-3.633333333333333467e-04	3.368550340543446295e-18
-5.000000000000000240e-05	-3.600000000000000227e-04	4.180442653086102068e-18
-5.000000000000000240e-05	-3.566666666666666987e-04	5.184091591886001636e-18
-5.000000000000000240e-05	-3.533333333333333747e-04	6.423835665511806375e-18
-5.000000000000000240e-05	-3.499999999999999964e-04	7.954039346938190027e-18
-5.000000000000000240e-05	-3.466666666666666724e-04	9.841307525827671549e-18
-5.000000000000000240e-05	-3.433333333333333484e-04	1.216717706904799809e-17
-5.000000000000000240e-05	-3.400000000000000244e-04	1.503138560798474279e-17
-5.000000000000000240e-05	-3.366666666666667004e-04	1.855583809800848970e-17
-5.000000000000000240e-05	-3.333333333333333764e-04	2.288941616612356717e-17
-5.000000000000000240e-05	-3.299999999999999982e-04	2.821380455232819622e-17
-5.000000000000000240e-05	-3.266666666666666742e-04	3.475054397686994209e-17
-5.000000000000000240e-05	-3.233333333333333502e-04	4.276956161660264009e-17
-5.000000000000000240e-05	-3.200000000000000262e-04	5.259948033498417064e-17
-5.000000000000000240e-05	-3.166666666666667022e-04	6.464006740153250961e-17
-5.000000000000000240e-05	-3.133333333333333240e-04	7.937725445188702715e-17
-5.000000000000000240e-05	-3.099999999999999999e-04	9.740124499518592724e-17
-5.000000000000000240e-05	-3.066666666666666759e-04	1.194283263651254540e-16
-5.000000000000000240e-05	-3.033333333333333519e-04	1.463271225708411428e-16
-5.000000000000000240e-05	-3.000000000000000279e-04	1.791501664873613752e-16
-5.000000000000000240e-05	-2.966666666666667039e-04	2.191718382913588916e-16
-5.000000000000000240e-05	-2.933333333333333799e-04	2.679339167615295394e-16
-5.000000000000000240e-05	-2.900000000000000017e-04	3.273002266137503920e-16
-5.000000000000000240e-05	-2.866666666666666777e-04	3.995221449798144694e-16
-5.000000000000000240e-05	-2.833333333333333537e-04	4.873170611348270326e-16
-5.000000000000000240e-05	-2.800000000000000297e-04	5.939622746040275968e-16
-5.000000000000000240e-05	-2.766666666666667057e-04	7.234072783203031773e-16
-5.000000000000000240e-05	-2.733333333333333275e-04	8.804079178016594461e-16
-5.000000000000000240e-05	-2.700000000000000577e-04	1.070686558655223961e-15
-5.000000000000000240e-05	-2.666666666666666794e-04	1.301123149736134462e-15
-5.000000000000000240e-05	-2.633333333333333554e-04	1.579982957376782242e-15
-5.000000000000000240e-05	-2.600000000000000314e-04	1.917187789802808343e-15
-5.000000000000000240e-05	-2.566666666666666532e-04	2.324638756371448558e-15
-5.000000000000000240e-05	-2.533333333333333834e-04	2.816600044037921851e-15
-5.000000000000000240e-05	-2.500000000000000052e-04	3.410154878780312882e-15
-5.000000000000000240e-05	-2.466666666666666812e-04	4.125746813514900931e-15
-5.000000000000000240e-05	-2.433333333333333572e-04	4.987821793703572907e-15
-5.000000000000000240e-05	-2.400000000000000332e-04	6.025589152221040557e-15
-5.000000000000000240e-05	-2.366666666666666821e-04	7.273922839498774302e-15
-5.000000000000000240e-05	-2.333333333333333581e-04	8.774427876694061895e-15
-5.000000000000000240e-05	-2.300000000000000070e-04	1.057670131311947613e-14
-5.000000000000000240e-05	-2.266666666666666829e-04	1.273982197178921546e-14
-5.000000000000000240e-05	-2.233333333333333589e-04	1.533410909086868374e-14
-5.000000000000000240e-05	-2.200000000000000078e-04	1.844319674313984646e-14
-5.000000000000000240e-05	-2.166666666666666838e-04	2.216647878874934924e-14
-5.000000000000000240e-05	-2.133333333333333598e-04	2.662198825901529929e-14
-5.000000000000000240e-05	-2.100000000000000087e-04	3.194978567665891495e-14
-5.000000000000000240e-05	-2.066666666666666847e-04	3.831594311497729046e-14
-5.000000000000000240e-05	-2.033333333333333607e-04	4.591722504240040529e-14
-5.000000000000000240e-05	-2.000000000000000096e-04	5.498658348406566049e-14
-5.000000000000000240e-05	-1.966666666666666856e-04	6.579960409537658069e-14
-5.000000000000000240e-05	-1.933333333333333616e-04	7.868206176903625032e-14
-5.000000000000000240e-05	-1.900000000000000105e-04	9.401876982649855759e-14
-5.000000000000000240e-05	-1.866666666666666865e-04	1.122639361789659367e-13
-5.000000000000000240e-05	-1.833333333333333624e-04	1.339532736541529066e-13
-5.000000000000000240e-05	-1.800000000000000113e-04	1.597181506248681254e-13
-5.000000000000000240e-05	-1.766666666666666873e-04	1.903021128861925129e-13
-5.000000000000000240e-05	-1.733333333333333633e-04	2.265801592537993055e-13
-5.000000000000000240e-05	-1.700000000000000122e-04	2.695812125563769648e-13
-5.000000000000000240e-05	-1.666666666666666882e-04	3.205142956601828028e-13
-5.000000000000000240e-05	-1.633333333333333642e-04	3.807990001306082860e-13
-5.000000000000000240e-05	-1.600000000000000131e-04	4.521009245076324443e-13
-5.000000000000000240e-05	-1.566666666666666891e-04	5.363728615398044657e-13
-5.000000000000000240e-05	-1.533333333333333380e-04	6.359026308866833835e-13
-5.000000000000000240e-05	-1.500000000000000140e-04	7.533685878022709429e-13
-5.000000000000000240e-05	-1.466666666666666900e-04	8.919039914593974884e-13
-5.000000000000000240e-05	-1.433333333333333660e-04	1.055171591476498880e-12
-5.000000000000000240e-05	-1.400000000000000419e-04	1.247449990812195653e-12
-5.000000000000000240e-05	-1.366666666666666637e-04	1.473733570829894014e-12
-5.000000000000000240e-05	-1.333333333333333397e-04	1.739848023763494811e-12
-5.000000000000000240e-05	-1.300000000000000157e-04	2.052583833279009131e-12
-5.000000000000000240e-05	-1.266666666666666917e-04	2.419850380109441580e-12
-5.000000000000000240e-05	-1.233333333333333677e-04	2.850853732237690858e-12
-5.000000000000000240e-05	-1.200000000000000437e-04	3.356301613894426855e-12
-5.000000000000000240e-05	-1.166666666666666655e-04	3.948639541577173401e-12
-5.000000000000000240e-05	-1.133333333333333415e-04	4.642322676102056893e-12
-5.000000000000000240e-05	-1.100000000000000175e-04	5.454128576065082977e-12
-5.000000000000000240e-05	-1.066666666666666935e-04	6.403516759806322596e-12
-5.000000000000000240e-05	-1.033333333333333695e-04	7.513041801065667014e-12
-5.000000000000000240e-05	-1.000000000000000454e-04	8.808827610408938680e-12
-5.000000000000000240e-05	-9.666666666666666723e-05	1.032111160417520863e-11
-5.000000000000000240e-05	-9.333333333333334323e-05	1.208486865090210469e-11
-5.000000000000000240e-05	-9.000000000000001922e-05	1.414052602967658662e-11
-5.000000000000000240e-05	-8.666666666666669521e-05	1.653478215563812402e-11
-5.000000000000000240e-05	-8.333333333333337121e-05	1.932154354748773466e-11
-5.000000000000000240e-05	-8.000000000000004720e-05	2.256299645577438009e-11
-5.000000000000000240e-05	-7.666666666666666899e-05	2.633083176767042753e-11
-5.000000000000000240e-05	-7.333333333333334498e-05	3.070764428635454777e-11
-5.000000000000000240e-05	-7.000000000000002097e-05	3.578853028769339562e-11
-5.000000000000000240e-05	-6.666666666666669697e-05	4.168291042516692326e-11
-5.000000000000000240e-05	-6.333333333333337296e-05	4.851660863297369841e-11
-5.000000000000000240e-05	-5.999999999999999474e-05	5.643422172034838780e-11
-5.000000000000000240e-05	-5.666666666666667074e-05	6.560181891795282896e-11
-5.000000000000000240e-05	-5.333333333333334673e-05	7.621001579875720357e-11
-5.000000000000000240e-05	-5.000000000000002272e-05	8.847747282970147351e-11
-5.000000000000000240e-05	-4.666666666666669872e-05	1.026548754064190563e-10
-5.000000000000000240e-05	-4.333333333333337471e-05	1.190294596840720135e-10
-5.000000000000000240e-05	-3.999999999999999650e-05	1.379301569606907382e-10
-5.000000000000000240e-05	-3.666666666666667249e-05	1.597334389306375987e-10
-5.000000000000000240e-05	-3.333333333333334848e-05	1.848699569609332402e-10
-5.000000000000000240e-05	-3.000000000000002448e-05	2.138320808323666587e-10
-5.000000000000000240e-05	-2.666666666666670047e-05	2.471824563394838566e-10
-5.000000000000000240e-05	-2.333333333333337646e-05	2.855637170014959957e-10
-5.000000000000000240e-05	-1.999999999999999825e-05	3.297095031832111178e-10
-5.000000000000000240e-05	-1.666666666666667424e-05	3.804569624929168637e-10
-5.000000000000000240e-05	-1.333333333333335024e-05	4.387609288025962472e-10
-5.000000000000000240e-05	-1.000000000000002623e-05	5.057100040849324044e-10
-5.000000000000000240e-05	-6.666666666666702223e-06	5.825447980265806504e-10
-5.000000000000000240e-05	-3.333333333333378216e-06	6.706786157073272466e-10
-5.000000000000000240e-05	0.000000000000000000e+00	7.717209243068779476e-10
-5.000000000000000240e-05	3.333333333333324006e-06	8.875039767493136096e-10
