sigma1	sigma2	posterior
-5.000000000000000240e-05	-4.000000000000000192e-04	1.440376680051378551e-36
-5.000000000000000240e-05	-3.966666666666666952e-04	2.413282274212210063e-36
-5.000000000000000240e-05	-3.933333333333333712e-04	4.035875296177133683e-36
-5.000000000000000240e-05	-3.900000000000000471e-04	6.736977882471451400e-36
-5.000000000000000240e-05	-3.866666666666666689e-04	1.122510643137769000e-35
-5.000000000000000240e-05	-3.833333333333333449e-04	1.866869559034180943e-35
-5.000000000000000240e-05	-3.800000000000000209e-04	3.099101797979307564e-35
-5.000000000000000240e-05	-3.766666666666666969e-04	5.135187121554089882e-35
-5.000000000000000240e-05	-3.733333333333333729e-04	8.493280627873210239e-35
-5.000000000000000240e-05	-3.699999999999999947e-04	1.402147334928616543e-34
-5.000000000000000240e-05	-3.666666666666666707e-04	2.310526822647635996e-34
-5.000000000000000240e-05	-3.633333333333333467e-04	3.800386598131854579e-34
-5.000000000000000240e-05	-3.600000000000000227e-04	6.239419076863542042e-34
-5.000000000000000240e-05	-3.566666666666666987e-04	1.022493058718976695e-33
-5.000000000000000240e-05	-3.533333333333333747e-04	1.672540469813743341e-33
-5.000000000000000240e-05	-3.499999999999999964e-04	2.730820661767970345e-33
-5.000000000000000240e-05	-3.466666666666666724e-04	4.450514605567729330e-33
-5.000000000000000240e-05	-3.433333333333333484e-04	7.239824129571648963e-33
-5.000000000000000240e-05	-3.400000000000000244e-04	1.175565332938489347e-32
-5.000000000000000240e-05	-3.366666666666667004e-04	1.905314745734921261e-32
-5.000000000000000240e-05	-3.333333333333333764e-04	3.082393855584577274e-32
-5.000000000000000240e-05	-3.299999999999999982e-04	4.977499418595039259e-32
-5.000000000000000240e-05	-3.266666666666666742e-04	8.022989752430766575e-32
-5.000000000000000240e-05	-3.233333333333333502e-04	1.290813319499964259e-31
-5.000000000000000240e-05	-3.200000000000000262e-04	2.072970265105024012e-31
-5.000000000000000240e-05	-3.166666666666667022e-04	3.322962170911155620e-31
-5.000000000000000240e-05	-3.133333333333333240e-04	5.316926687478386070e-31
-5.000000000000000240e-05	-3.099999999999999999e-04	8.491788342401572867e-31
-5.000000000000000240e-05	-3.066666666666666759e-04	1.353758296222473208e-30
-5.000000000000000240e-05	-3.033333333333333519e-04	2.154204131122196138e-30
-5.000000000000000240e-05	-3.000000000000000279e-04	3.421658057054055257e-30
-5.000000000000000240e-05	-2.966666666666667039e-04	5.424886624034267266e-30
-5.000000000000000240e-05	-2.933333333333333799e-04	8.585178281029727923e-30
-5.000000000000000240e-05	-2.900000000000000017e-04	1.356165994776640364e-29
-5.000000000000000240e-05	-2.866666666666666777e-04	2.138363611937271697e-29
-5.000000000000000240e-05	-2.833333333333333537e-04	3.365547547880241696e-29
-5.000000000000000240e-05	-2.800000000000000297e-04	5.287320995705596067e-29
-5.000000000000000240e-05	-2.766666666666667057e-04	8.291282309057449944e-29
-5.000000000000000240e-05	-2.733333333333333275e-04	1.297818969504573110e-28
-5.000000000000000240e-05	-2.700000000000000577e-04	2.027744532699873226e-28
-5.000000000000000240e-05	-2.666666666666666794e-04	3.162418838820246915e-28
