zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	1.285145529778153999e-05
-4.000000000000000083e-02	-2.479166666666666741e-01	1.185338165771736548e-05
-4.000000000000000083e-02	-2.458333333333333204e-01	1.091723651783227728e-05
-4.000000000000000083e-02	-2.437499999999999944e-01	1.013000010677334760e-05
-4.000000000000000083e-02	-2.416666666666666685e-01	9.558909452629355704e-06
-4.000000000000000083e-02	-2.395833333333333426e-01	9.237130882884394769e-06
-4.000000000000000083e-02	-2.374999999999999889e-01	9.155418078727671795e-06
-4.000000000000000083e-02	-2.354166666666666630e-01	9.262947722586013782e-06
-4.000000000000000083e-02	-2.333333333333333370e-01	9.477704462058183751e-06
-4.000000000000000083e-02	-2.312500000000000111e-01	9.703769662383490371e-06
-4.000000000000000083e-02	-2.291666666666666574e-01	9.850869331762630157e-06
-4.000000000000000083e-02	-2.270833333333333315e-01	9.851202666367192963e-06
-4.000000000000000083e-02	-2.250000000000000056e-01	9.669816164168358727e-06
-4.000000000000000083e-02	-2.229166666666666519e-01	9.306974155528550626e-06
-4.000000000000000083e-02	-2.208333333333333259e-01	8.793267678748118145e-06
-4.000000000000000083e-02	-2.187500000000000000e-01	8.179881116880887928e-06
-4.000000000000000083e-02	-2.166666666666666741e-01	7.527105215777370702e-06
-4.000000000000000083e-02	-2.145833333333333481e-01	6.893845802772902197e-06
-4.000000000000000083e-02	-2.124999999999999944e-01	6.329865083136821893e-06
-4.000000000000000083e-02	-2.104166666666666685e-01	5.871312278527000899e-06
-4.000000000000000083e-02	-2.083333333333333426e-01	5.539211004182787960e-06
-4.000000000000000083e-02	-2.062499999999999889e-01	5.340200886747688859e-06
-4.000000000000000083e-02	-2.041666666666666630e-01	5.268913363233272820e-06
-4.000000000000000083e-02	-2.020833333333333370e-01	5.311613415933540589e-06
-4.000000000000000083e-02	-2.000000000000000111e-01	5.450843151987301510e-06
-4.000000000000000083e-02	-1.979166666666666574e-01	5.670595033617513756e-06
-4.000000000000000083e-02	-1.958333333333333315e-01	5.961104329595218856e-06
-4.000000000000000083e-02	-1.937500000000000056e-01	6.321966393277385663e-06
-4.000000000000000083e-02	-1.916666666666666519e-01	6.762283905305912716e-06
-4.000000000000000083e-02	-1.895833333333333259e-01	7.297118018541793521e-06
-4.000000000000000083e-02	-1.875000000000000000e-01	7.940574908670976171e-06
-4.000000000000000083e-02	-1.854166666666666741e-01	8.697064647573313721e-06
-4.000000000000000083e-02	-1.833333333333333481e-01	9.553155885863528308e-06
-4.000000000000000083e-02	-1.812499999999999944e-01	1.047262648388626152e-05
-4.000000000000000083e-02	-1.791666666666666685e-01	1.139663622018147677e-05
-4.000000000000000083e-02	-1.770833333333333148e-01	1.224960112908797852e-05
-4.000000000000000083e-02	-1.749999999999999889e-01	1.294976073943588492e-05
-4.000000000000000083e-02	-1.729166666666666630e-01	1.342211590313331068e-05
-4.000000000000000083e-02	-1.708333333333333370e-01	1.361078512628994682e-05
-4.000000000000000083e-02	-1.687500000000000111e-01	1.348804451950109082e-05
-4.000000000000000083e-02	-1.666666666666666852e-01	1.305826177474199707e-05
-4.000000000000000083e-02	-1.645833333333333315e-01	1.235627416957311559e-05
-4.000000000000000083e-02	-1.625000000000000056e-01	1.144107731658844217e-05
-4.000000000000000083e-02	-1.604166666666666519e-01	1.038662505648459014e-05
-4.000000000000000083e-02	-1.583333333333333259e-01	9.271890286309154985e-06
-4.000000000000000083e-02	-1.562500000000000000e-01	8.172097571317455929e-06
-4.000000000000000083e-02	-1.541666666666666741e-01	7.152377887292878004e-06
-4.000000000000000083e-02	-1.520833333333333481e-01	6.264276923941348937e-06
-4.000000000000000083e-02	-1.499999999999999944e-01	5.544834273174220241e-06
-4.000000000000000083e-02	-1.479166666666666685e-01	5.017516779211224409e-06
-4.000000000000000083e-02	-1.458333333333333148e-01	4.694171776003822649e-06
-4.000000000000000083e-02	-1.437499999999999889e-01	4.577269962030717100e-06
-4.000000000000000083e-02	-1.416666666666666630e-01	4.661875652568018153e-06
-4.000000000000000083e-02	-1.395833333333333370e-01	4.936898244660740007e-06
-4.000000000000000083e-02	-1.375000000000000111e-01	5.385254778838668489e-06
-4.000000000000000083e-02	-1.354166666666666852e-01	5.982753161925882767e-06
-4.000000000000000083e-02	-1.333333333333333315e-01	6.695955248666042554e-06
-4.000000000000000083e-02	-1.312500000000000056e-01	7.480007480889031792e-06
-4.000000000000000083e-02	-1.291666666666666519e-01	8.278155447339756410e-06
-4.000000000000000083e-02	-1.270833333333333259e-01	9.024876892901114532e-06
-4.000000000000000083e-02	-1.250000000000000000e-01	9.653814624233753470e-06
-4.000000000000000083e-02	-1.229166666666666741e-01	1.010992980134241685e-05
-4.000000000000000083e-02	-1.208333333333333481e-01	1.036311820310364380e-05
-4.000000000000000083e-02	-1.187499999999999944e-01	1.041897461310147013e-05
-4.000000000000000083e-02	-1.166666666666666685e-01	1.032240121215311751e-05
-4.000000000000000083e-02	-1.145833333333333426e-01	1.015160991788116055e-05
-4.000000000000000083e-02	-1.124999999999999889e-01	1.000313230797743746e-05
-4.000000000000000083e-02	-1.104166666666666630e-01	9.971476040086551162e-06
-4.000000000000000083e-02	-1.083333333333333370e-01	1.012883717455526384e-05
-4.000000000000000083e-02	-1.062500000000000111e-01	1.051019350628532191e-05
-4.000000000000000083e-02	-1.041666666666666574e-01	1.110736691584981217e-05
-4.000000000000000083e-02	-1.020833333333333315e-01	1.187301247693864085e-05
-4.000000000000000083e-02	-1.000000000000000056e-01	1.273285774820435023e-05
-4.000000000000000083e-02	-9.791666666666667962e-02	1.360257322133498645e-05
