zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	9.992096152329889355e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	5.460904218642754709e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.945425819002733432e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.581810577385592505e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	8.538099365567131213e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	4.664420313064922301e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	2.583141620031815136e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.443219568961255888e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	8.059448794182992571e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	4.451124425024961564e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	2.409025662676735994e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	1.269424543832297015e-81
-4.000000000000000083e-02	-2.250000000000000056e-01	6.489370883028142971e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	3.214982580459718065e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.545355478652207755e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	7.228677046806358890e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	3.306001477920758583e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.487419200327321443e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	6.631334093143666152e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.952016724660990464e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	1.321162621829178232e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	5.972327944071286937e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	2.731137308006312290e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	1.261392743154333018e-73
-4.000000000000000083e-02	-2.000000000000000111e-01	5.862199587459135009e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.730092937077918641e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	1.270029918612528099e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	5.892134692439399130e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.725529191823129825e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	1.257358091980952061e-69
-4.000000000000000083e-02	-1.875000000000000000e-01	5.782733110064951319e-69
-4.000000000000000083e-02	-1.854166666666666741e-01	2.646438656891575871e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	1.200853312152094242e-67
-4.000000000000000083e-02	-1.812499999999999944e-01	5.376643043622655013e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	2.362743959846885645e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	1.013987176374570090e-65
-4.000000000000000083e-02	-1.749999999999999889e-01	4.231985464039338447e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	1.712351416673834106e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	6.703157500757255496e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	2.535845393017285008e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	9.268498638253880763e-63
-4.000000000000000083e-02	-1.645833333333333315e-01	3.274576913654904483e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	1.119679066835457332e-61
-4.000000000000000083e-02	-1.604166666666666519e-01	3.712775088324596869e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	1.197438344661284967e-60
-4.000000000000000083e-02	-1.562500000000000000e-01	3.771969880096964990e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	1.167216546982807617e-59
-4.000000000000000083e-02	-1.520833333333333481e-01	3.575886038080562030e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	1.095440842757436808e-58
-4.000000000000000083e-02	-1.479166666666666685e-01	3.394570511062356022e-58
-4.000000000000000083e-02	-1.458333333333333148e-01	1.076198627463908842e-57
-4.000000000000000083e-02	-1.437499999999999889e-01	3.519288378125850102e-57
-4.000000000000000083e-02	-1.416666666666666630e-01	1.189703666943952150e-56
-4.000000000000000083e-02	-1.395833333333333370e-01	4.139200894259978852e-56
-4.000000000000000083e-02	-1.375000000000000111e-01	1.468415271562018524e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	5.252476412733087185e-55
-4.000000000000000083e-02	-1.333333333333333315e-01	1.874055856556638412e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	6.608680907401791696e-54
-4.000000000000000083e-02	-1.291666666666666519e-01	2.286531006583856883e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	7.718964439872559848e-53
-4.000000000000000083e-02	-1.250000000000000000e-01	2.532756520654558314e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	8.060922993205601664e-52
-4.000000000000000083e-02	-1.208333333333333481e-01	2.488294457259943208e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	7.466467844336399808e-51
-4.000000000000000083e-02	-1.166666666666666685e-01	2.188419410160070260e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	6.312575735187823667e-50
-4.000000000000000083e-02	-1.124999999999999889e-01	1.809166524602505495e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	5.202519894443879638e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	1.512389003772413445e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	4.456599796873220824e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	1.327510201612203072e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	3.970769502401658341e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	1.183286115777150042e-46
-4.000000000000000083e-02	-9.791666666666667962e-02	3.489056983715714459e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	1.013207005959025629e-45
-4.000000000000000083e-02	-9.375000000000000000e-02	2.890980423318512947e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	8.101942981258890125e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	2.232430432605848385e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	6.059176279129910914e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.623448309948055990e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	4.303155741454108749e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	1.130623744342330393e-42
-4.000000000000000083e-02	-7.916666666666666297e-02	2.949964125652944769e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	7.656504715038540778e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	1.980108802876152909e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	5.110543630601365215e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.317913483571062480e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	3.397766184895831486e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	8.755109825358899869e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	2.252064377221566040e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	5.772013598161048309e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.470591080936340714e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	3.715499286585958589e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	9.287730788356414656e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	2.292518655675942651e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	5.578874966558789675e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.336972150899736689e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	3.153166210934509372e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	7.316804080957422325e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.670873105685907770e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.757661706577231408e-35
-4.000000000000000083e-02	-3.958333333333333148e-02	8.332674507931699550e-35
-4.000000000000000083e-02	-3.750000000000000555e-02	1.825456778871665420e-34
-4.000000000000000083e-02	-3.541666666666667962e-02	3.961584629425349275e-34
-4.000000000000000083e-02	-3.333333333333332593e-02	8.548879696729378868e-34
-4.000000000000000083e-02	-3.125000000000000000e-02	1.843371944066346841e-33
