zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	1.347773384040164842e-89
-4.000000000000000083e-02	-2.479166666666666741e-01	7.986102356998443955e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	4.676790881184196967e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	2.706808966077495526e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	1.548336807391977526e-86
-4.000000000000000083e-02	-2.395833333333333426e-01	8.753327179967580418e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	4.890830557075645459e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	2.700820845534379657e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	1.474058634816032600e-83
-4.000000000000000083e-02	-2.312500000000000111e-01	7.951367684265277074e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	4.239156491108657664e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	2.233727640156961765e-81
-4.000000000000000083e-02	-2.250000000000000056e-01	1.163314012115495072e-80
-4.000000000000000083e-02	-2.229166666666666519e-01	5.988012486084954410e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	3.046426351288084358e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	1.531878819769830315e-78
-4.000000000000000083e-02	-2.166666666666666741e-01	7.613557598836458074e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	3.740110204632196191e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	1.816013347661790107e-76
-4.000000000000000083e-02	-2.104166666666666685e-01	8.715578418054328602e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	4.134480521861532303e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	1.938646536243729113e-74
-4.000000000000000083e-02	-2.041666666666666630e-01	8.985351237509938720e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	4.116578959929265940e-73
-4.000000000000000083e-02	-2.000000000000000111e-01	1.864272941672627229e-72
-4.000000000000000083e-02	-1.979166666666666574e-01	8.345673289601191218e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	3.693174346063245044e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	1.615597097589281773e-70
-4.000000000000000083e-02	-1.916666666666666519e-01	6.986666590437282681e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	2.986896623019286294e-69
-4.000000000000000083e-02	-1.875000000000000000e-01	1.262390689264147708e-68
-4.000000000000000083e-02	-1.854166666666666741e-01	5.274747979273319851e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	2.178992205766665972e-67
-4.000000000000000083e-02	-1.812499999999999944e-01	8.899552538862541416e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	3.593788848833851276e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	1.434904825808256926e-65
-4.000000000000000083e-02	-1.749999999999999889e-01	5.664935949769944519e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	2.211487524204028234e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	8.537069698550364473e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	3.259015019532096595e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	1.230372458355703508e-62
-4.000000000000000083e-02	-1.645833333333333315e-01	4.593886283355506135e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	1.696442794260755848e-61
-4.000000000000000083e-02	-1.604166666666666519e-01	6.196361801637025754e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	2.238708035670945830e-60
-4.000000000000000083e-02	-1.562500000000000000e-01	8.001054964946763059e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	2.828873744479663394e-59
-4.000000000000000083e-02	-1.520833333333333481e-01	9.895216537392628715e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	3.424624347788223352e-58
-4.000000000000000083e-02	-1.479166666666666685e-01	1.172758479294990739e-57
-4.000000000000000083e-02	-1.458333333333333148e-01	3.974166305899464779e-57
-4.000000000000000083e-02	-1.437499999999999889e-01	1.332787494114113263e-56
-4.000000000000000083e-02	-1.416666666666666630e-01	4.423751225119353832e-56
-4.000000000000000083e-02	-1.395833333333333370e-01	1.453365712647151550e-55
-4.000000000000000083e-02	-1.375000000000000111e-01	4.726669307438127401e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	1.521863169557857595e-54
-4.000000000000000083e-02	-1.333333333333333315e-01	4.851572989743375029e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	1.531529377508730996e-53
-4.000000000000000083e-02	-1.291666666666666519e-01	4.788021575330146903e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	1.482621640230999689e-52
-4.000000000000000083e-02	-1.250000000000000000e-01	4.547859801391801890e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	1.382131017012193412e-51
-4.000000000000000083e-02	-1.208333333333333481e-01	4.162209166894524319e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	1.242232250996037832e-50
-4.000000000000000083e-02	-1.166666666666666685e-01	3.675042821618112079e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	1.077914369000756445e-49
-4.000000000000000083e-02	-1.124999999999999889e-01	3.135126804960132558e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	9.044131756643813557e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	2.588311264129695013e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	7.350307448847645358e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	2.071759456497076322e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	5.797307468960986544e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	1.610929232944488404e-46
-4.000000000000000083e-02	-9.791666666666667962e-02	4.446308283938299050e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	1.219279970896992214e-45
-4.000000000000000083e-02	-9.375000000000000000e-02	3.322702950105528927e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	9.000372739069297300e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	2.423805901289772589e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	6.490518803242108037e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.728492073025193348e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	4.578345951383271900e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	1.206239278575846035e-42
-4.000000000000000083e-02	-7.916666666666666297e-02	3.161226363000328618e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	8.240853600178965466e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	2.136806450745094456e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	5.510651683575829920e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.413327394326828428e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	3.604404245958082216e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	9.139418535217978069e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	2.303769997589918746e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	5.772140924173043587e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.437332479364526843e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	3.556733809592359285e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	8.745385939044595297e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	2.136536163454491398e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	5.185942882093771469e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.250628202138362132e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	2.996570902348416593e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	7.134236350844294267e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.687903300296718679e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.969145045493084656e-35
-4.000000000000000083e-02	-3.958333333333333148e-02	9.278787833177168187e-35
-4.000000000000000083e-02	-3.750000000000000555e-02	2.157001181380929674e-34
