zeta1	zeta2	posterior
-5.000000000000000240e-05	-4.000000000000000192e-04	2.934117207641938922e-19
-5.000000000000000240e-05	-3.966666666666666952e-04	3.672102618432911269e-19
-5.000000000000000240e-05	-3.933333333333333712e-04	4.592206154647190874e-19
-5.000000000000000240e-05	-3.900000000000000471e-04	5.738485969498750134e-19
-5.000000000000000240e-05	-3.866666666666666689e-04	7.165439271430270967e-19
-5.000000000000000240e-05	-3.833333333333333449e-04	8.940422276487093943e-19
-5.000000000000000240e-05	-3.800000000000000209e-04	1.114661838566793296e-18
-5.000000000000000240e-05	-3.766666666666666969e-04	1.388667580028713800e-18
-5.000000000000000240e-05	-3.733333333333333729e-04	1.728716190605013327e-18
-5.000000000000000240e-05	-3.699999999999999947e-04	2.150401334907727256e-18
-5.000000000000000240e-05	-3.666666666666666707e-04	2.672919890890076030e-18
-5.000000000000000240e-05	-3.633333333333333467e-04	3.319885837855074605e-18
-5.000000000000000240e-05	-3.600000000000000227e-04	4.120323628591058706e-18
-5.000000000000000240e-05	-3.566666666666666987e-04	5.109879634027493270e-18
-5.000000000000000240e-05	-3.533333333333333747e-04	6.332298323997683860e-18
-5.000000000000000240e-05	-3.499999999999999964e-04	7.841219564623910634e-18
-5.000000000000000240e-05	-3.466666666666666724e-04	9.702365095088860785e-18
-5.000000000000000240e-05	-3.433333333333333484e-04	1.199619627934663800e-17
-5.000000000000000240e-05	-3.400000000000000244e-04	1.482114206990924473e-17
-5.000000000000000240e-05	-3.366666666666667004e-04	1.829751631574716538e-17
-5.000000000000000240e-05	-3.333333333333333764e-04	2.257226774114707899e-17
-5.000000000000000240e-05	-3.299999999999999982e-04	2.782473488395409210e-17
-5.000000000000000240e-05	-3.266666666666666742e-04	3.427361291889321111e-17
-5.000000000000000240e-05	-3.233333333333333502e-04	4.218538068074747603e-17
-5.000000000000000240e-05	-3.200000000000000262e-04	5.188448561592817766e-17
-5.000000000000000240e-05	-3.166666666666667022e-04	6.376564333387635985e-17
-5.000000000000000240e-05	-3.133333333333333240e-04	7.830867867800836958e-17
-5.000000000000000240e-05	-3.099999999999999999e-04	9.609641888475906479e-17
-5.000000000000000240e-05	-3.066666666666666759e-04	1.178362489184687334e-16
