zeta1	zeta2	posterior
-5.000000000000000240e-05	-4.000000000000000192e-04	1.418525124199583779e-36
-5.000000000000000240e-05	-3.966666666666666952e-04	2.376829788928528097e-36
-5.000000000000000240e-05	-3.933333333333333712e-04	3.975179100213320631e-36
-5.000000000000000240e-05	-3.900000000000000471e-04	6.636102434046702366e-36
-5.000000000000000240e-05	-3.866666666666666689e-04	1.105776661660411193e-35
-5.000000000000000240e-05	-3.833333333333333449e-04	1.839161696978274212e-35
-5.000000000000000240e-05	-3.800000000000000209e-04	3.053309039532963441e-35
-5.000000000000000240e-05	-3.766666666666666969e-04	5.059646460911577033e-35
-5.000000000000000240e-05	-3.733333333333333729e-04	8.368899334534632162e-35
-5.000000000000000240e-05	-3.699999999999999947e-04	1.381705503290044975e-34
-5.000000000000000240e-05	-3.666666666666666707e-04	2.276993612625480962e-34
-5.000000000000000240e-05	-3.633333333333333467e-04	3.745480425654924940e-34
-5.000000000000000240e-05	-3.600000000000000227e-04	6.149684861931086112e-34
-5.000000000000000240e-05	-3.566666666666666987e-04	1.007854916542444569e-33
-5.000000000000000240e-05	-3.533333333333333747e-04	1.648706027687547410e-33
-5.000000000000000240e-05	-3.499999999999999964e-04	2.692084614612776753e-33
-5.000000000000000240e-05	-3.466666666666666724e-04	4.387677375258456007e-33
-5.000000000000000240e-05	-3.433333333333333484e-04	7.138079771029302360e-33
-5.000000000000000240e-05	-3.400000000000000244e-04	1.159121791375853804e-32
-5.000000000000000240e-05	-3.366666666666667004e-04	1.878788716045361317e-32
-5.000000000000000240e-05	-3.333333333333333764e-04	3.039682715587703799e-32
-5.000000000000000240e-05	-3.299999999999999982e-04	4.908855471128041028e-32
-5.000000000000000240e-05	-3.266666666666666742e-04	7.912872423411225658e-32
-5.000000000000000240e-05	-3.233333333333333502e-04	1.273181319506369890e-31
-5.000000000000000240e-05	-3.200000000000000262e-04	2.044790320447268986e-31
-5.000000000000000240e-05	-3.166666666666667022e-04	3.278007843098721208e-31
-5.000000000000000240e-05	-3.133333333333333240e-04	5.245346000981471485e-31
-5.000000000000000240e-05	-3.099999999999999999e-04	8.378022115054138412e-31
-5.000000000000000240e-05	-3.066666666666666759e-04	1.335710500356612925e-30
-5.000000000000000240e-05	-3.033333333333333519e-04	2.125626352170190494e-30
-5.000000000000000240e-05	-3.000000000000000279e-04	3.376490516914572917e-30
-5.000000000000000240e-05	-2.966666666666667039e-04	5.353631147731026208e-30
-5.000000000000000240e-05	-2.933333333333333799e-04	8.472975382049439886e-30
-5.000000000000000240e-05	-2.900000000000000017e-04	1.338530643538202804e-29
-5.000000000000000240e-05	-2.866666666666666777e-04	2.110696836743233992e-29
-5.000000000000000240e-05	-2.833333333333333537e-04	3.322223647428872626e-29
-5.000000000000000240e-05	-2.800000000000000297e-04	5.219604990474300015e-29
-5.000000000000000240e-05	-2.766666666666667057e-04	8.185637033981769615e-29
-5.000000000000000240e-05	-2.733333333333333275e-04	1.281367526669167172e-28
-5.000000000000000240e-05	-2.700000000000000577e-04	2.002173205167475613e-28
-5.000000000000000240e-05	-2.666666666666666794e-04	3.122745556763491027e-28
-5.000000000000000240e-05	-2.633333333333333554e-04	4.861596412625551063e-28
-5.000000000000000240e-05	-2.600000000000000314e-04	7.554902930492484150e-28
-5.000000000000000240e-05	-2.566666666666666532e-04	1.171890124139704723e-27
-5.000000000000000240e-05	-2.533333333333333834e-04	1.814484503768697449e-27
-5.000000000000000240e-05	-2.500000000000000052e-04	2.804325013534622613e-27
-5.000000000000000240e-05	-2.466666666666666812e-04	4.326258807299224807e-27
-5.000000000000000240e-05	-2.433333333333333572e-04	6.662022226492641389e-27
-5.000000000000000240e-05	-2.400000000000000332e-04	1.024022399176597185e-26
-5.000000000000000240e-05	-2.366666666666666821e-04	1.571169385633611272e-26
-5.000000000000000240e-05	-2.333333333333333581e-04	2.406285279335551635e-26
-5.000000000000000240e-05	-2.300000000000000070e-04	3.678596577810770264e-26
-5.000000000000000240e-05	-2.266666666666666829e-04	5.613433063303923487e-26
-5.000000000000000240e-05	-2.233333333333333589e-04	8.550404768550750838e-26
