zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	9.385762626494788535e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	5.131868168274336597e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.769212971033533974e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.487851010007616004e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	8.034562619457137646e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	4.391310481552519035e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	2.432985268881999990e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.359934001161500798e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	7.597737571039496834e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	4.197991669746226343e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	2.273031833004320034e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	1.198291834462252000e-81
-4.000000000000000083e-02	-2.250000000000000056e-01	6.128430791290084912e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	3.037495610343883041e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.460680189036130365e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	6.835568447411146284e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	3.127571821623110835e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.407749651324064669e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	6.278850076930750939e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.796305006300293678e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	1.252010262820819463e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	5.662138701762707300e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	2.590389073024542251e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	1.196894199320750270e-73
-4.000000000000000083e-02	-2.000000000000000111e-01	5.564797503514256806e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.592679826201103622e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	1.206611505067642814e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	5.600252261445967569e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.591591437382756447e-70
