zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	9.528552750014677195e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	5.209387630196611265e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.810745227349370719e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.510005902901330973e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	8.153341847983793811e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	4.455761136518334779e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	2.468435114885712170e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.379604755306296804e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	7.706831921570155899e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	4.257827413559277699e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	2.305191534373288401e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	1.215120223247972353e-81
-4.000000000000000083e-02	-2.250000000000000056e-01	6.213856503790677220e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	3.079519879140492205e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.480737397086527129e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	6.928723478207477814e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	3.169871850051356349e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.426644598729861951e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	6.362482043632719987e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.833265142525146537e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	1.268431219956164341e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	5.735826775613936310e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	2.623838772770808265e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	1.212228986164832049e-73
-4.000000000000000083e-02	-2.000000000000000111e-01	5.635535078401285107e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.625377164344864348e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	1.221708044086769883e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	5.669762291554217163e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.623500917465159678e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	1.210673550896501813e-69
-4.000000000000000083e-02	-1.875000000000000000e-01	5.569784685455723907e-69
-4.000000000000000083e-02	-1.854166666666666741e-01	2.549786204584726901e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	1.157358927285860037e-67
-4.000000000000000083e-02	-1.812499999999999944e-01	5.183522321924661242e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	2.278586843154839035e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	9.781738168584683650e-66
-4.000000000000000083e-02	-1.749999999999999889e-01	4.083775671556143684e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	1.652891089260630023e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	6.472378207821859086e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	2.449287961432328935e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	8.954855260831092433e-63
-4.000000000000000083e-02	-1.645833333333333315e-01	3.164724945992882262e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	1.082443952677954186e-61
-4.000000000000000083e-02	-1.604166666666666519e-01	3.590385456302077626e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	1.158312279770004880e-60
-4.000000000000000083e-02	-1.562500000000000000e-01	3.649810110583684301e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	1.129750476383715768e-59
-4.000000000000000083e-02	-1.520833333333333481e-01	3.462129430445001799e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	1.060905207242734019e-58
-4.000000000000000083e-02	-1.479166666666666685e-01	3.288516279247281224e-58
-4.000000000000000083e-02	-1.458333333333333148e-01	1.042880613492116074e-57
-4.000000000000000083e-02	-1.437499999999999889e-01	3.411328183649127426e-57
-4.000000000000000083e-02	-1.416666666666666630e-01	1.153542026337806996e-56
-4.000000000000000083e-02	-1.395833333333333370e-01	4.014547386059694878e-56
-4.000000000000000083e-02	-1.375000000000000111e-01	1.424603231433563833e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	5.097222362161150711e-55
-4.000000000000000083e-02	-1.333333333333333315e-01	1.819181048647679371e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	6.416993285501898317e-54
-4.000000000000000083e-02	-1.291666666666666519e-01	2.220837555729990291e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	7.499306787125782965e-53
-4.000000000000000083e-02	-1.250000000000000000e-01	2.461372762338922223e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	7.835921456489496935e-52
-4.000000000000000083e-02	-1.208333333333333481e-01	2.419512738792414804e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	7.262090621370186265e-51
-4.000000000000000083e-02	-1.166666666666666685e-01	2.129103785070651566e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	6.143164842951558192e-50
-4.000000000000000083e-02	-1.124999999999999889e-01	1.761095424799567956e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	5.065663733254179284e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	1.473003791449088513e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	4.341714075282872161e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	1.293636210941951608e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	3.870483054067451882e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	1.153708097156111801e-46
-4.000000000000000083e-02	-9.791666666666667962e-02	3.402744936451215727e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	9.884032448513940163e-46
-4.000000000000000083e-02	-9.375000000000000000e-02	2.820949137928900516e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	7.907749368962732587e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	2.179489285848735727e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	5.917018999427025588e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.585768895233928756e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	4.204361286582846720e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	1.104948613103536488e-42
-4.000000000000000083e-02	-7.916666666666666297e-02	2.883707518510664026e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	7.486434096077111923e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	1.936613533600858104e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	4.999538819348418815e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.289609316572620808e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	3.325620175900380217e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	8.571328298966002097e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	2.205333053020160946e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	5.653625851384920419e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.440779292137529916e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	3.641061399573154191e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	9.103852384211984364e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	2.247670850812895555e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	5.471043743875970783e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.311442101558084691e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	3.093686512919818103e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	7.180472487924434121e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.640124055024046952e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.689368358061002248e-35
-4.000000000000000083e-02	-3.958333333333333148e-02	8.183127993163456557e-35
-4.000000000000000083e-02	-3.750000000000000555e-02	1.793108396233080698e-34
-4.000000000000000083e-02	-3.541666666666667962e-02	3.892274551502872345e-34
-4.000000000000000083e-02	-3.333333333333332593e-02	8.401227583400186623e-34
-4.000000000000000083e-02	-3.125000000000000000e-02	1.811944989630972350e-33
