zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	7.118852253109296597e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	3.895255542927233229e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.103477702646880880e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.131001379623764596e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	6.112081085513239369e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	3.343068145567207144e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	1.853599154023512000e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.036860841875225548e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	5.797146380419459976e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	3.205530587905674469e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	1.736973862439580307e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	9.163909983839808467e-82
-4.000000000000000083e-02	-2.250000000000000056e-01	4.690282328225096045e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	2.326472260195827377e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.119620683083203801e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	5.243544975169341140e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	2.401006148362714697e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.081553631552414659e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	4.827701683142546378e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.151709134196938875e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	9.641545408385554802e-76
-4.000000000000000083e-02	-2.062499999999999889e-01	4.363751710409755065e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	1.997957841218372130e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	9.238892205842136538e-74
-4.000000000000000083e-02	-2.000000000000000111e-01	4.298900017336621608e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.004480018584030606e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	9.336114953482460655e-72
-4.000000000000000083e-02	-1.937500000000000056e-01	4.336638531974995549e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.008445703082926492e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	9.276781254143178140e-70
-4.000000000000000083e-02	-1.875000000000000000e-01	4.271701900110766636e-69
-4.000000000000000083e-02	-1.854166666666666741e-01	1.957309257075525972e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	8.892375254806842707e-68
-4.000000000000000083e-02	-1.812499999999999944e-01	3.986296520410026862e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	1.753904743708388544e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	7.536212182043846118e-66
-4.000000000000000083e-02	-1.749999999999999889e-01	3.149172881785625244e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	1.275784375649446141e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	5.000301772407674354e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	1.893966679598598287e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	6.930939122045793619e-63
-4.000000000000000083e-02	-1.645833333333333315e-01	2.451722872879932718e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	8.393509522951216933e-62
-4.000000000000000083e-02	-1.604166666666666519e-01	2.786652853373503149e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	8.998537729129400384e-61
-4.000000000000000083e-02	-1.562500000000000000e-01	2.838062136432519595e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	8.793066756797517965e-60
-4.000000000000000083e-02	-1.520833333333333481e-01	2.697169262827880196e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	8.272740534969977475e-59
-4.000000000000000083e-02	-1.479166666666666685e-01	2.566738308383335193e-58
-4.000000000000000083e-02	-1.458333333333333148e-01	8.147527152943525812e-58
-4.000000000000000083e-02	-1.437499999999999889e-01	2.667627589177207070e-57
-4.000000000000000083e-02	-1.416666666666666630e-01	9.029141172466262763e-57
-4.000000000000000083e-02	-1.395833333333333370e-01	3.145297864951903856e-56
-4.000000000000000083e-02	-1.375000000000000111e-01	1.117203096102131031e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	4.001157444130159839e-55
-4.000000000000000083e-02	-1.333333333333333315e-01	1.429363474780693570e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	5.046774215453625288e-54
-4.000000000000000083e-02	-1.291666666666666519e-01	1.748297968769882888e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	5.909312853453387817e-53
-4.000000000000000083e-02	-1.250000000000000000e-01	1.941383290509624747e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	6.186468905587797230e-52
-4.000000000000000083e-02	-1.208333333333333481e-01	1.912054924343882213e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	5.744531682339347594e-51
-4.000000000000000083e-02	-1.166666666666666685e-01	1.685819735976696918e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	4.868875030207667854e-50
-4.000000000000000083e-02	-1.124999999999999889e-01	1.397147703985116245e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	4.022717908554122255e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	1.170878113174007379e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	3.454573636194855020e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	1.030318783952201465e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	3.085685418626104236e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	9.206832558082232618e-47
-4.000000000000000083e-02	-9.791666666666667962e-02	2.718143159197272374e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	7.903264473555216206e-46
-4.000000000000000083e-02	-9.375000000000000000e-02	2.257864242433861139e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	6.335581392385897131e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	1.747914214058594543e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	4.750079983962666999e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.274298640474634705e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	3.381936893917411960e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	8.896977157342400486e-43
-4.000000000000000083e-02	-7.916666666666666297e-02	2.324273880357519170e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	6.040147811503372269e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	1.564057662526055361e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	4.041827223045466088e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.043625605088280936e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	2.694007082206692692e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	6.950475153128239123e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	1.790117684708902019e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	4.593843974724987249e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.171896239342119132e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	2.964578631763905031e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	7.420004804741718276e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	1.833818866542059545e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	4.468269778483988973e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.072172159865570308e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	2.531853885764976554e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	5.882514545252943885e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.345039554556191064e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.028722347272474073e-35
-4.000000000000000083e-02	-3.958333333333333148e-02	6.724756816651042029e-35
-4.000000000000000083e-02	-3.750000000000000555e-02	1.475075629156974505e-34
-4.000000000000000083e-02	-3.541666666666667962e-02	3.205253756931006813e-34
-4.000000000000000083e-02	-3.333333333333332593e-02	6.925539461775992887e-34
-4.000000000000000083e-02	-3.125000000000000000e-02	1.495231613359807681e-33
-4.000000000000000083e-02	-2.916666666666667407e-02	3.244687296207206031e-33
-4.000000000000000083e-02	-2.708333333333334814e-02	7.121357069819193206e-33
-4.000000000000000083e-02	-2.499999999999999445e-02	1.589576894066760985e-32
-4.000000000000000083e-02	-2.291666666666666852e-02	3.620838600681401180e-32
-4.000000000000000083e-02	-2.083333333333334259e-02	8.418190207374011648e-32
-4.000000000000000083e-02	-1.875000000000001665e-02	1.991070841458689579e-31
-4.000000000000000083e-02	-1.666666666666666297e-02	4.762737091885805228e-31
-4.000000000000000083e-02	-1.458333333333333703e-02	1.144080051861086234e-30
-4.000000000000000083e-02	-1.250000000000001110e-02	2.740875595176006626e-30
-4.000000000000000083e-02	-1.041666666666665741e-02	6.510760924331526607e-30
-4.000000000000000083e-02	-8.333333333333331483e-03	1.526951980146724218e-29
-4.000000000000000083e-02	-6.250000000000005551e-03	3.526366054327949573e-29
-4.000000000000000083e-02	-4.166666666666679619e-03	8.010932143628250966e-29
-4.000000000000000083e-02	-2.083333333333325932e-03	1.790822814136725512e-28
-4.000000000000000083e-02	0.000000000000000000e+00	3.945422050053068713e-28
-4.000000000000000083e-02	2.083333333333325932e-03	8.585885054696426055e-28
-4.000000000000000083e-02	4.166666666666651864e-03	1.850099301360349747e-27
-4.000000000000000083e-02	6.249999999999977796e-03	3.955639571388842255e-27
-4.000000000000000083e-02	8.333333333333303727e-03	8.401263014450774383e-27
-4.000000000000000083e-02	1.041666666666668517e-02	1.772404417413053427e-26
-4.000000000000000083e-02	1.250000000000001110e-02	3.710095872802731032e-26
-4.000000000000000083e-02	1.458333333333333703e-02	7.691641332902362446e-26
-4.000000000000000083e-02	1.666666666666666297e-02	1.576086192177654401e-25
-4.000000000000000083e-02	1.874999999999998890e-02	3.186245311698579397e-25
-4.000000000000000083e-02	2.083333333333331483e-02	6.346653450786313036e-25
-4.000000000000000083e-02	2.291666666666664076e-02	1.244735212688700833e-24
-4.000000000000000083e-02	2.500000000000002220e-02	2.403620808265715850e-24
-4.000000000000000083e-02	2.708333333333334814e-02	4.573035241333871240e-24
-4.000000000000000083e-02	2.916666666666667407e-02	8.584567425422495051e-24
-4.000000000000000083e-02	3.125000000000000000e-02	1.593731738170813535e-23
-4.000000000000000083e-02	3.333333333333332593e-02	2.935811516954162863e-23
-4.000000000000000083e-02	3.541666666666665186e-02	5.388940678983666322e-23
-4.000000000000000083e-02	3.749999999999997780e-02	9.905302744377427158e-23
-4.000000000000000083e-02	3.958333333333330373e-02	1.832046052885473833e-22
-4.000000000000000083e-02	4.166666666666668517e-02	3.422930290092890673e-22
-4.000000000000000083e-02	4.375000000000001110e-02	6.473292895127532961e-22
-4.000000000000000083e-02	4.583333333333333703e-02	1.238821517489532394e-21
-4.000000000000000083e-02	4.791666666666666297e-02	2.394019019274715149e-21
-4.000000000000000083e-02	4.999999999999998890e-02	4.657785425426055887e-21
-4.000000000000000083e-02	5.208333333333331483e-02	9.098275519392593841e-21
-4.000000000000000083e-02	5.416666666666664076e-02	1.781057813426100954e-20
-4.000000000000000083e-02	5.625000000000002220e-02	3.491577622727711887e-20
-4.000000000000000083e-02	5.833333333333334814e-02	6.854184452520508513e-20
-4.000000000000000083e-02	6.041666666666667407e-02	1.347058182051341712e-19
-4.000000000000000083e-02	6.250000000000000000e-02	2.647477493401290884e-19
-4.000000000000000083e-02	6.458333333333332593e-02	5.191097291438117490e-19
-4.000000000000000083e-02	6.666666666666665186e-02	1.011906504322095800e-18
-4.000000000000000083e-02	6.874999999999997780e-02	1.952974889737320768e-18
-4.000000000000000083e-02	7.083333333333330373e-02	3.717045239001286993e-18
-4.000000000000000083e-02	7.291666666666668517e-02	6.953764205910758190e-18
-4.000000000000000083e-02	7.500000000000001110e-02	1.275861878870574125e-17
-4.000000000000000083e-02	7.708333333333333703e-02	2.293544278428233186e-17
-4.000000000000000083e-02	7.916666666666666297e-02	4.039847608043977574e-17
-4.000000000000000083e-02	8.124999999999998890e-02	6.978545940850273785e-17
-4.000000000000000083e-02	8.333333333333331483e-02	1.183734294428515658e-16
-4.000000000000000083e-02	8.541666666666664076e-02	1.973792635188325198e-16
-4.000000000000000083e-02	8.750000000000002220e-02	3.236420478402999960e-16
-4.000000000000000083e-02	8.958333333333334814e-02	5.214745583717929046e-16
-4.000000000000000083e-02	9.166666666666667407e-02	8.241244699044822094e-16
-4.000000000000000083e-02	9.375000000000000000e-02	1.273885862360000099e-15
-4.000000000000000083e-02	9.583333333333332593e-02	1.919664449542855604e-15
-4.000000000000000083e-02	9.791666666666665186e-02	2.811034081639398801e-15
-4.000000000000000083e-02	9.999999999999997780e-02	3.988775765042727937e-15
-4.000000000000000083e-02	1.020833333333333037e-01	5.473533719648636363e-15
-4.000000000000000083e-02	1.041666666666666852e-01	7.256111087798136260e-15
-4.000000000000000083e-02	1.062500000000000111e-01	9.294340537452014161e-15
-4.000000000000000083e-02	1.083333333333333370e-01	1.152192950291986524e-14
-4.000000000000000083e-02	1.104166666666666630e-01	1.387476926995087898e-14
-4.000000000000000083e-02	1.124999999999999889e-01	1.634226858200768715e-14
-4.000000000000000083e-02	1.145833333333333148e-01	1.905976698910366057e-14
-4.000000000000000083e-02	1.166666666666666408e-01	2.247925077915514421e-14
-4.000000000000000083e-02	1.187500000000000222e-01	2.769686758879754759e-14
-4.000000000000000083e-02	1.208333333333333481e-01	3.708502564033706669e-14
-4.000000000000000083e-02	1.229166666666666741e-01	5.548141238824770679e-14
-4.000000000000000083e-02	1.250000000000000000e-01	9.233055938668984947e-14
-4.000000000000000083e-02	1.270833333333333259e-01	1.653482883860649449e-13
-4.000000000000000083e-02	1.291666666666666519e-01	3.064564182705200337e-13
-4.000000000000000083e-02	1.312499999999999778e-01	5.708561093509358587e-13
-4.000000000000000083e-02	1.333333333333333037e-01	1.050102757768997353e-12
-4.000000000000000083e-02	1.354166666666666852e-01	1.889913778069222694e-12
-4.000000000000000083e-02	1.375000000000000111e-01	3.313456274142341912e-12
-4.000000000000000083e-02	1.395833333333333370e-01	5.651928850809114181e-12
-4.000000000000000083e-02	1.416666666666666630e-01	9.388375290478454974e-12
-4.000000000000000083e-02	1.437499999999999889e-01	1.523133189588237102e-11
-4.000000000000000083e-02	1.458333333333333148e-01	2.425698920038146190e-11
-4.000000000000000083e-02	1.479166666666666408e-01	3.819731877383770335e-11
-4.000000000000000083e-02	1.500000000000000222e-01	6.001072377234186474e-11
-4.000000000000000083e-02	1.520833333333333481e-01	9.495069780388644474e-11
-4.000000000000000083e-02	1.541666666666666741e-01	1.524402980003498682e-10
-4.000000000000000083e-02	1.562500000000000000e-01	2.491540549105737966e-10
-4.000000000000000083e-02	1.583333333333333259e-01	4.137893187578633495e-10
-4.000000000000000083e-02	1.604166666666666519e-01	6.940594657113086096e-10
-4.000000000000000083e-02	1.624999999999999778e-01	1.166439479650496252e-09
-4.000000000000000083e-02	1.645833333333333037e-01	1.949100991667784180e-09
-4.000000000000000083e-02	1.666666666666666852e-01	3.218227199229775630e-09
-4.000000000000000083e-02	1.687500000000000111e-01	5.227443128356938453e-09
-4.000000000000000083e-02	1.708333333333333370e-01	8.329483646758756453e-09
-4.000000000000000083e-02	1.729166666666666630e-01	1.299877291609486333e-08
