zeta1	zeta2	posterior
-4.000000000000000083e-02	-2.500000000000000000e-01	9.226039736490085865e-90
-4.000000000000000083e-02	-2.479166666666666741e-01	5.043071712718088721e-89
-4.000000000000000083e-02	-2.458333333333333204e-01	2.720516064962697450e-88
-4.000000000000000083e-02	-2.437499999999999944e-01	1.461271968496044890e-87
-4.000000000000000083e-02	-2.416666666666666685e-01	7.888817455026075038e-87
-4.000000000000000083e-02	-2.395833333333333426e-01	4.310456379196271245e-86
-4.000000000000000083e-02	-2.374999999999999889e-01	2.387533191839581792e-85
-4.000000000000000083e-02	-2.354166666666666630e-01	1.334166352987993724e-84
-4.000000000000000083e-02	-2.333333333333333370e-01	7.451780220605359932e-84
-4.000000000000000083e-02	-2.312500000000000111e-01	4.116255290899751383e-83
-4.000000000000000083e-02	-2.291666666666666574e-01	2.228192002448142444e-82
-4.000000000000000083e-02	-2.270833333333333315e-01	1.174349694600871969e-81
-4.000000000000000083e-02	-2.250000000000000056e-01	6.004450280639828508e-81
-4.000000000000000083e-02	-2.229166666666666519e-01	2.975295702508489893e-80
-4.000000000000000083e-02	-2.208333333333333259e-01	1.430413183988802627e-79
-4.000000000000000083e-02	-2.187500000000000000e-01	6.692282580735827686e-79
-4.000000000000000083e-02	-2.166666666666666741e-01	3.061269565470358627e-78
-4.000000000000000083e-02	-2.145833333333333481e-01	1.377576535646189810e-77
-4.000000000000000083e-02	-2.124999999999999944e-01	6.142820504218916013e-77
-4.000000000000000083e-02	-2.104166666666666685e-01	2.735086288229117323e-76
-4.000000000000000083e-02	-2.083333333333333426e-01	1.224318852012369603e-75
-4.000000000000000083e-02	-2.062499999999999889e-01	5.535650754120785270e-75
-4.000000000000000083e-02	-2.041666666666666630e-01	2.531955584194038646e-74
-4.000000000000000083e-02	-2.020833333333333370e-01	1.169637068425733505e-73
-4.000000000000000083e-02	-2.000000000000000111e-01	5.436887878017956661e-73
-4.000000000000000083e-02	-1.979166666666666574e-01	2.532543542184372692e-72
-4.000000000000000083e-02	-1.958333333333333315e-01	1.178375992345206969e-71
-4.000000000000000083e-02	-1.937500000000000056e-01	5.468066332619102194e-71
-4.000000000000000083e-02	-1.916666666666666519e-01	2.529902877767582922e-70
-4.000000000000000083e-02	-1.895833333333333259e-01	1.167359501770226022e-69
-4.000000000000000083e-02	-1.875000000000000000e-01	5.369973551761360504e-69
-4.000000000000000083e-02	-1.854166666666666741e-01	2.458073760119002973e-68
-4.000000000000000083e-02	-1.833333333333333481e-01	1.115623987809104442e-67
-4.000000000000000083e-02	-1.812499999999999944e-01	4.996140171871769078e-67
-4.000000000000000083e-02	-1.791666666666666685e-01	2.196020138345730191e-66
-4.000000000000000083e-02	-1.770833333333333148e-01	9.426469907319747222e-66
-4.000000000000000083e-02	-1.749999999999999889e-01	3.935124468205912932e-65
-4.000000000000000083e-02	-1.729166666666666630e-01	1.592595936637290447e-64
-4.000000000000000083e-02	-1.708333333333333370e-01	6.235786592383472116e-64
-4.000000000000000083e-02	-1.687500000000000111e-01	2.359578436475006705e-63
-4.000000000000000083e-02	-1.666666666666666852e-01	8.626240768608248660e-63
-4.000000000000000083e-02	-1.645833333333333315e-01	3.048376666767964582e-62
-4.000000000000000083e-02	-1.625000000000000056e-01	1.042578939669755095e-61
-4.000000000000000083e-02	-1.604166666666666519e-01	3.457933942122409009e-61
-4.000000000000000083e-02	-1.583333333333333259e-01	1.115512853891954964e-60
-4.000000000000000083e-02	-1.562500000000000000e-01	3.514744042563428767e-60
-4.000000000000000083e-02	-1.541666666666666741e-01	1.087881755656719787e-59
-4.000000000000000083e-02	-1.520833333333333481e-01	3.333645361255922825e-59
-4.000000000000000083e-02	-1.499999999999999944e-01	1.021482248036436538e-58
-4.000000000000000083e-02	-1.479166666666666685e-01	3.166165343114871182e-58
-4.000000000000000083e-02	-1.458333333333333148e-01	1.004034754923840330e-57
-4.000000000000000083e-02	-1.437499999999999889e-01	3.284123005823360904e-57
-4.000000000000000083e-02	-1.416666666666666630e-01	1.110483977769527354e-56
-4.000000000000000083e-02	-1.395833333333333370e-01	3.864556190394415949e-56
-4.000000000000000083e-02	-1.375000000000000111e-01	1.371331094202914987e-55
-4.000000000000000083e-02	-1.354166666666666852e-01	4.906463078277929655e-55
-4.000000000000000083e-02	-1.333333333333333315e-01	1.751050332966223882e-54
-4.000000000000000083e-02	-1.312500000000000056e-01	6.176511232009034759e-54
-4.000000000000000083e-02	-1.291666666666666519e-01	2.137561300830743431e-53
-4.000000000000000083e-02	-1.270833333333333259e-01	7.217955975451335398e-53
-4.000000000000000083e-02	-1.250000000000000000e-01	2.368988806433851615e-52
-4.000000000000000083e-02	-1.229166666666666741e-01	7.541702331993054588e-52
-4.000000000000000083e-02	-1.208333333333333481e-01	2.328638657448750002e-51
-4.000000000000000083e-02	-1.187499999999999944e-01	6.989271504543738925e-51
-4.000000000000000083e-02	-1.166666666666666685e-01	2.049105481846061338e-50
-4.000000000000000083e-02	-1.145833333333333426e-01	5.912321801612911160e-50
-4.000000000000000083e-02	-1.124999999999999889e-01	1.694916742915289828e-49
-4.000000000000000083e-02	-1.104166666666666630e-01	4.875314041632385721e-49
-4.000000000000000083e-02	-1.083333333333333370e-01	1.417659819327090809e-48
-4.000000000000000083e-02	-1.062500000000000111e-01	4.178616158208675956e-48
-4.000000000000000083e-02	-1.041666666666666574e-01	1.245052550925231134e-47
-4.000000000000000083e-02	-1.020833333333333315e-01	3.725170117480493158e-47
-4.000000000000000083e-02	-1.000000000000000056e-01	1.110410250382688863e-46
-4.000000000000000083e-02	-9.791666666666667962e-02	3.275100692074580860e-46
-4.000000000000000083e-02	-9.583333333333332593e-02	9.513456065221895943e-46
-4.000000000000000083e-02	-9.375000000000000000e-02	2.715247714198436294e-45
-4.000000000000000083e-02	-9.166666666666667407e-02	7.611640944950760662e-45
-4.000000000000000083e-02	-8.958333333333334814e-02	2.097937180720121573e-44
-4.000000000000000083e-02	-8.749999999999999445e-02	5.695792953051088144e-44
-4.000000000000000083e-02	-8.541666666666666852e-02	1.526531449255784748e-43
-4.000000000000000083e-02	-8.333333333333334259e-02	4.047451560179144259e-43
-4.000000000000000083e-02	-8.124999999999998890e-02	1.063752563052577695e-42
-4.000000000000000083e-02	-7.916666666666666297e-02	2.776308924203538776e-42
-4.000000000000000083e-02	-7.708333333333333703e-02	7.207933268563478342e-42
-4.000000000000000083e-02	-7.500000000000001110e-02	1.864657251323987488e-41
-4.000000000000000083e-02	-7.291666666666665741e-02	4.814014816777033911e-41
-4.000000000000000083e-02	-7.083333333333333148e-02	1.241818679266803065e-40
-4.000000000000000083e-02	-6.875000000000000555e-02	3.202553108695091582e-40
-4.000000000000000083e-02	-6.666666666666667962e-02	8.254610937288220010e-40
-4.000000000000000083e-02	-6.458333333333332593e-02	2.123970906652490001e-39
-4.000000000000000083e-02	-6.250000000000000000e-02	5.445383234963105555e-39
-4.000000000000000083e-02	-6.041666666666667407e-02	1.387800245241291619e-38
-4.000000000000000083e-02	-5.833333333333334814e-02	3.507411528600552949e-38
-4.000000000000000083e-02	-5.624999999999999445e-02	8.770296007115579862e-38
-4.000000000000000083e-02	-5.416666666666666852e-02	2.165475016365677404e-37
-4.000000000000000083e-02	-5.208333333333334259e-02	5.271365936502677252e-37
-4.000000000000000083e-02	-4.999999999999998890e-02	1.263675910190268396e-36
-4.000000000000000083e-02	-4.791666666666666297e-02	2.981244415834261096e-36
-4.000000000000000083e-02	-4.583333333333333703e-02	6.920063514492551896e-36
-4.000000000000000083e-02	-4.375000000000001110e-02	1.580777031083228368e-35
-4.000000000000000083e-02	-4.166666666666665741e-02	3.556181154037671138e-35
