sigma1	sigma2	posterior
-5.000000000000000240e-05	-4.000000000000000192e-04	1.421896051584472957e-36
-5.000000000000000240e-05	-3.966666666666666952e-04	2.382453964561794737e-36
-5.000000000000000240e-05	-3.933333333333333712e-04	3.984545197029498125e-36
-5.000000000000000240e-05	-3.900000000000000471e-04	6.651671008056577496e-36
-5.000000000000000240e-05	-3.866666666666666689e-04	1.108359692481105354e-35
-5.000000000000000240e-05	-3.833333333333333449e-04	1.843439305511130481e-35
-5.000000000000000240e-05	-3.800000000000000209e-04	3.060379754355341535e-35
-5.000000000000000240e-05	-3.766666666666666969e-04	5.071312316086064162e-35
-5.000000000000000240e-05	-3.733333333333333729e-04	8.388110820428890940e-35
-5.000000000000000240e-05	-3.699999999999999947e-04	1.384863390337672549e-34
-5.000000000000000240e-05	-3.666666666666666707e-04	2.282174732407642248e-34
-5.000000000000000240e-05	-3.633333333333333467e-04	3.753965237691907952e-34
-5.000000000000000240e-05	-3.600000000000000227e-04	6.163554097345866136e-34
-5.000000000000000240e-05	-3.566666666666666987e-04	1.010117760806700407e-33
-5.000000000000000240e-05	-3.533333333333333747e-04	1.652391123766829182e-33
-5.000000000000000240e-05	-3.499999999999999964e-04	2.698074729116530711e-33
-5.000000000000000240e-05	-3.466666666666666724e-04	4.397396199951151861e-33
-5.000000000000000240e-05	-3.433333333333333484e-04	7.153819050497041900e-33
-5.000000000000000240e-05	-3.400000000000000244e-04	1.161665975745197567e-32
-5.000000000000000240e-05	-3.366666666666667004e-04	1.882893639955721103e-32
-5.000000000000000240e-05	-3.333333333333333764e-04	3.046293524527685345e-32
-5.000000000000000240e-05	-3.299999999999999982e-04	4.919482142019811506e-32
-5.000000000000000240e-05	-3.266666666666666742e-04	7.929922767822941970e-32
-5.000000000000000240e-05	-3.233333333333333502e-04	1.275911947599481459e-31
-5.000000000000000240e-05	-3.200000000000000262e-04	2.049155334027887182e-31
-5.000000000000000240e-05	-3.166666666666667022e-04	3.284972543976532788e-31
-5.000000000000000240e-05	-3.133333333333333240e-04	5.256438089911710182e-31
-5.000000000000000240e-05	-3.099999999999999999e-04	8.395654798198589091e-31
-5.000000000000000240e-05	-3.066666666666666759e-04	1.338508307893136943e-30
-5.000000000000000240e-05	-3.033333333333333519e-04	2.130057454991179550e-30
-5.000000000000000240e-05	-3.000000000000000279e-04	3.383495394822624098e-30
-5.000000000000000240e-05	-2.966666666666667039e-04	5.364684251740216612e-30
-5.000000000000000240e-05	-2.933333333333333799e-04	8.490383951492280679e-30
-5.000000000000000240e-05	-2.900000000000000017e-04	1.341267406933711560e-29
-5.000000000000000240e-05	-2.866666666666666777e-04	2.114991280946789022e-29
-5.000000000000000240e-05	-2.833333333333333537e-04	3.328949888467535692e-29
-5.000000000000000240e-05	-2.800000000000000297e-04	5.230120585398025989e-29
-5.000000000000000240e-05	-2.766666666666667057e-04	8.202046386406020062e-29
-5.000000000000000240e-05	-2.733333333333333275e-04	1.283923435898554295e-28
-5.000000000000000240e-05	-2.700000000000000577e-04	2.006146913798070338e-28
-5.000000000000000240e-05	-2.666666666666666794e-04	3.128912123652127601e-28
-5.000000000000000240e-05	-2.633333333333333554e-04	4.871148272334536720e-28
-5.000000000000000240e-05	-2.600000000000000314e-04	7.569671203670220836e-28
-5.000000000000000240e-05	-2.566666666666666532e-04	1.174169253775937009e-27
-5.000000000000000240e-05	-2.533333333333333834e-04	1.817995303925728914e-27
-5.000000000000000240e-05	-2.500000000000000052e-04	2.809723116990448110e-27
-5.000000000000000240e-05	-2.466666666666666812e-04	4.334543464841255164e-27
-5.000000000000000240e-05	-2.433333333333333572e-04	6.674713535969740312e-27
-5.000000000000000240e-05	-2.400000000000000332e-04	1.025963003892563299e-26
-5.000000000000000240e-05	-2.366666666666666821e-04	1.574131260919122292e-26
-5.000000000000000240e-05	-2.333333333333333581e-04	2.410797556404107345e-26
-5.000000000000000240e-05	-2.300000000000000070e-04	3.685458160930531727e-26
-5.000000000000000240e-05	-2.266666666666666829e-04	5.623847906981700538e-26
-5.000000000000000240e-05	-2.233333333333333589e-04	8.566183835695863522e-26
-5.000000000000000240e-05	-2.200000000000000078e-04	1.302426924427553791e-25
-5.000000000000000240e-05	-2.166666666666666838e-04	1.976659711051720663e-25
-5.000000000000000240e-05	-2.133333333333333598e-04	2.994494023702355528e-25
-5.000000000000000240e-05	-2.100000000000000087e-04	4.528229402654809651e-25
-5.000000000000000240e-05	-2.066666666666666847e-04	6.835137599375885325e-25
-5.000000000000000240e-05	-2.033333333333333607e-04	1.029865302204394478e-24
-5.000000000000000240e-05	-2.000000000000000096e-04	1.548917811271869061e-24
-5.000000000000000240e-05	-1.966666666666666856e-04	2.325367367762971295e-24
-5.000000000000000240e-05	-1.933333333333333616e-04	3.484740996006703831e-24
-5.000000000000000240e-05	-1.900000000000000105e-04	5.212735097233356192e-24
-5.000000000000000240e-05	-1.866666666666666865e-04	7.783546504822354331e-24
-5.000000000000000240e-05	-1.833333333333333624e-04	1.160129903876122834e-23
-5.000000000000000240e-05	-1.800000000000000113e-04	1.726050372782480071e-23
-5.000000000000000240e-05	-1.766666666666666873e-04	2.563413039352482739e-23
-5.000000000000000240e-05	-1.733333333333333633e-04	3.800165698095789780e-23
-5.000000000000000240e-05	-1.700000000000000122e-04	5.623489046226982677e-23
-5.000000000000000240e-05	-1.666666666666666882e-04	8.306711281510423246e-23
-5.000000000000000240e-05	-1.633333333333333642e-04	1.224821778047565691e-22
-5.000000000000000240e-05	-1.600000000000000131e-04	1.802759520304574517e-22
-5.000000000000000240e-05	-1.566666666666666891e-04	2.648649039406811058e-22
-5.000000000000000240e-05	-1.533333333333333380e-04	3.884484328200780441e-22
-5.000000000000000240e-05	-1.500000000000000140e-04	5.686765317160118861e-22
-5.000000000000000240e-05	-1.466666666666666900e-04	8.310379610477125961e-22
-5.000000000000000240e-05	-1.433333333333333660e-04	1.212273768158923953e-21
-5.000000000000000240e-05	-1.400000000000000419e-04	1.765247167350734649e-21
-5.000000000000000240e-05	-1.366666666666666637e-04	2.565878021679941832e-21
-5.000000000000000240e-05	-1.333333333333333397e-04	3.722998604461303345e-21
-5.000000000000000240e-05	-1.300000000000000157e-04	5.392334892727029685e-21
-5.000000000000000240e-05	-1.266666666666666917e-04	7.796302962196723862e-21
-5.000000000000000240e-05	-1.233333333333333677e-04	1.125198637061804081e-20
-5.000000000000000240e-05	-1.200000000000000437e-04	1.621060105418463288e-20
-5.000000000000000240e-05	-1.166666666666666655e-04	2.331305995830619953e-20
-5.000000000000000240e-05	-1.133333333333333415e-04	3.346805850770833761e-20
-5.000000000000000240e-05	-1.100000000000000175e-04	4.796160310540317234e-20
-5.000000000000000240e-05	-1.066666666666666935e-04	6.861035625795041905e-20
-5.000000000000000240e-05	-1.033333333333333695e-04	9.797592544412679855e-20
-5.000000000000000240e-05	-1.000000000000000454e-04	1.396637569535801932e-19
-5.000000000000000240e-05	-9.666666666666666723e-05	1.987392601045803163e-19
-5.000000000000000240e-05	-9.333333333333334323e-05	2.823060613408386749e-19
-5.000000000000000240e-05	-9.000000000000001922e-05	4.003080612041136379e-19
-5.000000000000000240e-05	-8.666666666666669521e-05	5.666398450131536866e-19
-5.000000000000000240e-05	-8.333333333333337121e-05	8.006811413857344217e-19
-5.000000000000000240e-05	-8.000000000000004720e-05	1.129413335824383935e-18
-5.000000000000000240e-05	-7.666666666666666899e-05	1.590333424738305813e-18
-5.000000000000000240e-05	-7.333333333333334498e-05	2.235458452569137190e-18
-5.000000000000000240e-05	-7.000000000000002097e-05	3.136818376710850007e-18
-5.000000000000000240e-05	-6.666666666666669697e-05	4.393976738842699629e-18
-5.000000000000000240e-05	-6.333333333333337296e-05	6.144308845454117499e-18
-5.000000000000000240e-05	-5.999999999999999474e-05	8.577022787764571847e-18
-5.000000000000000240e-05	-5.666666666666667074e-05	1.195225131776326603e-17
-5.000000000000000240e-05	-5.333333333333334673e-05	1.662700112498328585e-17
-5.000000000000000240e-05	-5.000000000000002272e-05	2.309035843296753476e-17
-5.000000000000000240e-05	-4.666666666666669872e-05	3.201116614295363463e-17
-5.000000000000000240e-05	-4.333333333333337471e-05	4.430247388227451246e-17
-5.000000000000000240e-05	-3.999999999999999650e-05	6.120850477436016594e-17
-5.000000000000000240e-05	-3.666666666666667249e-05	8.442179490790796762e-17
-5.000000000000000240e-05	-3.333333333333334848e-05	1.162406916499665210e-16
-5.000000000000000240e-05	-3.000000000000002448e-05	1.597807387716156961e-16
-5.000000000000000240e-05	-2.666666666666670047e-05	2.192578822424297149e-16
-5.000000000000000240e-05	-2.333333333333337646e-05	3.003672289103554478e-16
-5.000000000000000240e-05	-1.999999999999999825e-05	4.107887076713639106e-16
-5.000000000000000240e-05	-1.666666666666667424e-05	5.608609722311029837e-16
-5.000000000000000240e-05	-1.333333333333335024e-05	7.644779621117371792e-16
-5.000000000000000240e-05	-1.000000000000002623e-05	1.040279629401625419e-15
-5.000000000000000240e-05	-6.666666666666702223e-06	1.413230636699914170e-15
-5.000000000000000240e-05	-3.333333333333378216e-06	1.916709874737022924e-15
-5.000000000000000240e-05	0.000000000000000000e+00	2.595271414608679835e-15
-5.000000000000000240e-05	3.333333333333324006e-06	3.508286540616687566e-15
-5.000000000000000240e-05	6.666666666666648013e-06	4.734740064964678050e-15
-5.000000000000000240e-05	9.999999999999972019e-06	6.379536380669833020e-15
-5.000000000000000240e-05	1.333333333333329603e-05	8.581777006590791003e-15
-5.000000000000000240e-05	1.666666666666662003e-05	1.152560854617584629e-14
-5.000000000000000240e-05	1.999999999999999825e-05	1.545441673601982101e-14
-5.000000000000000240e-05	2.333333333333332225e-05	2.068936971916473319e-14
-5.000000000000000240e-05	2.666666666666664626e-05	2.765360600956323616e-14
-5.000000000000000240e-05	2.999999999999997027e-05	3.690373786203724748e-14
-5.000000000000000240e-05	3.333333333333329427e-05	4.917082189370595711e-14
-5.000000000000000240e-05	3.666666666666667249e-05	6.541356504219994784e-14
-5.000000000000000240e-05	3.999999999999999650e-05	8.688732247237570226e-14
-5.000000000000000240e-05	4.333333333333332050e-05	1.152334521605062485e-13
-5.000000000000000240e-05	4.666666666666664451e-05	1.525948787979701932e-13
-5.000000000000000240e-05	4.999999999999996851e-05	2.017653640377794289e-13
-5.000000000000000240e-05	5.333333333333329252e-05	2.663820786945165376e-13
-5.000000000000000240e-05	5.666666666666667074e-05	3.511737500601178157e-13
-5.000000000000000240e-05	5.999999999999999474e-05	4.622800735507114780e-13
-5.000000000000000240e-05	6.333333333333331875e-05	6.076624369363990470e-13
-5.000000000000000240e-05	6.666666666666664276e-05	7.976315702895352900e-13
-5.000000000000000240e-05	6.999999999999996676e-05	1.045524844669285378e-12
-5.000000000000000240e-05	7.333333333333329077e-05	1.368575037008222722e-12
-5.000000000000000240e-05	7.666666666666666899e-05	1.789024030581679151e-12
-5.000000000000000240e-05	7.999999999999999299e-05	2.335549881643729299e-12
-5.000000000000000240e-05	8.333333333333331700e-05	3.045094948308352976e-12
-5.000000000000000240e-05	8.666666666666664100e-05	3.965207678285298552e-12
