clock_surrogate	bound	eos	clock_prior	bf_dec_over_tied	log10_bf_dec_over_tied	pre_clock_mahalanobis	clock_like_expectation_under_j0337	tied_sigma1_abs95	tied_sigma2_abs95	tied_eta_abs95	tied_kappa_abs95
grid_matched	optimistic	low	tight	0.1524008563760787	-0.8170125925872289	0.5921190719585443	0.8392015090069485	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
grid_matched	optimistic	low	medium	0.023204683953297466	-1.6344243422750588	0.5921190719585443	0.8392015090069485	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
grid_matched	optimistic	low	wide	0.0038674514926047856	-2.4125751247200458	0.5921190719585443	0.8392015090069485	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
grid_matched	optimistic	wide	tight	0.15240083945290697	-0.8170126408129456	0.5921190719585443	0.8392016021950919	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
grid_matched	optimistic	wide	medium	0.02320468137656095	-1.6344243905007756	0.5921190719585443	0.8392016021950919	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
grid_matched	optimistic	wide	wide	0.0038674510631482376	-2.412575172945762	0.5921190719585443	0.8392016021950919	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
grid_matched	optimistic	high	tight	0.15240080703806685	-0.8170127331850594	0.5921190719585443	0.8392017806888039	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
grid_matched	optimistic	high	medium	0.023204676441049833	-1.6344244828728896	0.5921190719585443	0.8392017806888039	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
grid_matched	optimistic	high	wide	0.003867450240562165	-2.412575265317876	0.5921190719585443	0.8392017806888039	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
grid_matched	conservative	low	tight	0.15240096215639473	-0.8170122911467207	0.5921190719585443	0.8392009265237439	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
grid_matched	conservative	low	medium	0.023204700059498307	-1.6344240408345507	0.5921190719585443	0.8392009265237439	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
grid_matched	conservative	low	wide	0.003867454176974486	-2.412574823279537	0.5921190719585443	0.8392009265237439	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
grid_matched	conservative	wide	tight	0.15240092082121764	-0.8170124089389019	0.5921190719585443	0.8392011541373219	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
grid_matched	conservative	wide	medium	0.02320469376576911	-1.6344241586267318	0.5921190719585443	0.8392011541373219	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
grid_matched	conservative	wide	wide	0.0038674531280184885	-2.4125749410717185	0.5921190719585443	0.8392011541373219	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
grid_matched	conservative	high	tight	0.1524008448243142	-0.8170126255061237	0.5921190719585443	0.8392015726172141	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
